cycle,t,dt,lowstate_age,joint_id,q,dq,tau_est,q_cmd,dq_cmd,kp_cmd,kd_cmd,tau_cmd,flags,debug_0,debug_1,debug_2,debug_3,debug_4,debug_5,debug_6,debug_7,debug_8,debug_9,debug_10,debug_11,debug_12,debug_13,debug_14,debug_15,debug_16,debug_17,debug_18,debug_19,debug_20,debug_21,debug_22,debug_23,debug_24,debug_25,debug_26,debug_27,debug_28,debug_29,debug_30,debug_31
32,14263.5,0.00200897,0.00109118,2,0.324157,-0.0285303,-2.15625,0.324157,0,0,0.8,-2.31182,4,0.324897,-0.00116136,0.324157,-0.0285303,0.000740087,0.0273689,-4.22982,1.92632,-2.31182,0.000176971,0.0226708,0.323294,-0.146073,8.84601e-05,-0.022115,0.32347,0.324894,-0.00112261,-0.123402,0.263113,-0.0154192,-0.0603576,0.107983,-13.7767,-2.31182,-2.3035,0.227968,0.825716,0,0,0,0
33,14263.5,0.00201185,0.00106517,2,0.324029,-0.0324889,-2.0625,0.324029,0,0,0.8,-2.21627,4,0.324893,-0.00112234,0.324029,-0.0324889,0.000864584,0.0313666,-4.21665,2.00038,-2.21627,0.000174267,0.0231944,0.323169,-0.150956,8.59662e-05,-0.0214916,0.323343,0.32489,-0.00107297,-0.127761,0.263302,-0.0153358,-0.0600408,0.112425,-13.3548,-2.21627,-2.21627,0.229663,0.859975,0,0,0,0
34,14263.5,0.00201834,0.0010708,2,0.323885,-0.0375806,-2.15625,0.323885,0,0,0.8,-2.15521,4,0.32489,-0.00107245,0.323885,-0.0375806,0.00100516,0.0365081,-4.21301,2.05781,-2.15521,0.000172893,0.0235062,0.323034,-0.154471,8.46413e-05,-0.0211603,0.323207,0.324887,-0.00101224,-0.130965,0.263352,-0.0152736,-0.0598549,0.115691,-13.0824,-2.15521,-2.15521,0.231436,0.896319,0,0,0,0
35,14263.5,0.00201836,0.00108979,2,0.323677,-0.0443493,-1.96875,0.323677,0,0,0.8,-2.06372,4,0.324887,-0.00101163,0.323677,-0.0443493,0.00120975,0.0433377,-4.17261,2.10889,-2.06372,0.000171233,0.0234261,0.322893,-0.157129,8.36492e-05,-0.0209123,0.323064,0.324884,-0.00094048,-0.133703,0.263939,-0.0150766,-0.0591249,0.118627,-12.6841,-2.06372,-2.06372,0.233283,0.934074,0,0,0,0
36,14263.5,0.00202068,0.00104858,2,0.32347,-0.0518299,-2.53125,0.32347,0,0,0.8,-1.94372,4,0.324884,-0.000939687,0.32347,-0.0518299,0.00141447,0.0508902,-3.95148,2.15719,-1.94372,0.000162317,0.0228823,0.322746,-0.159071,7.8437e-05,-0.0196092,0.322908,0.324881,-0.00085763,-0.136189,0.267166,-0.0142593,-0.0557421,0.12193,-12.1668,-1.94372,-1.79429,0.23521,0.972757,0,0,0,0
37,14263.5,0.00201052,0.000996298,2,0.32323,-0.0604447,-2.15625,0.32323,0,0,0.8,-1.82372,4,0.324881,-0.000857174,0.32323,-0.0604447,0.00165131,0.0595875,-3.66216,2.20449,-1.82372,0.000151371,0.0219861,0.322587,-0.160523,7.23421e-05,-0.0180855,0.322738,0.324879,-0.000764416,-0.138537,0.271389,-0.0132015,-0.0513492,0.125335,-11.6498,-1.82372,-1.45767,0.237204,1.0116,0,0,0,0
38,14263.5,0.00201129,0.00105672,2,0.32291,-0.0714486,-2.25,0.32291,0,0,0.8,-1.70372,4,0.324879,-0.000763862,0.32291,-0.0714486,0.00196825,0.0706847,-3.28127,2.25602,-1.70372,0.000137149,0.0207545,0.322415,-0.161836,6.45096e-05,-0.0161274,0.322552,0.324876,-0.000660685,-0.141082,0.27695,-0.0118243,-0.0456017,0.129258,-11.1317,-1.70372,-1.02525,0.239278,1.05031,0,0,0,0
39,14263.5,0.00201096,0.00098709,2,0.322559,-0.0848151,-2.4375,0.322559,0,0,0.8,-1.58372,4,0.324876,-0.000660076,0.322559,-0.0848151,0.00231731,0.084155,-2.67649,2.31901,-1.58372,0.000113403,0.0190814,0.322225,-0.163345,5.09165e-05,-0.0127291,0.322338,0.324874,-0.000546904,-0.144264,0.285781,-0.00968196,-0.0365571,0.134582,-10.6105,-1.58372,-0.357483,0.241429,1.08836,0,0,0,0
40,14263.5,0.00202179,0.00108303,2,0.322223,-0.0969924,-2.25,0.322223,0,0,0.8,-1.46372,4,0.324874,-0.000545626,0.322223,-0.0969924,0.00265063,0.0964468,-1.92991,2.40035,-1.46372,8.42517e-05,0.0169718,0.322007,-0.165485,3.43011e-05,-0.00857527,0.322092,0.324872,-0.000422984,-0.148513,0.296684,-0.00705093,-0.0254075,0.141462,-10.0843,-1.46372,0.470449,0.243667,1.12546,0,0,0,0
41,14263.5,0.0020084,0.00120389,2,0.321888,-0.110254,-1.78125,0.321888,0,0,0.8,-1.34372,4,0.324872,-0.000422464,0.321888,-0.110254,0.00298418,0.109831,-1.25725,2.49883,-1.34372,5.85688e-05,0.014926,0.321754,-0.168682,1.99126e-05,-0.00497815,0.321813,0.32487,-0.000291137,-0.153756,0.306508,-0.00466038,-0.0153053,0.149095,-9.55328,-1.34372,1.24158,0.245963,1.16068,0,0,0,0
42,14263.5,0.00202003,0.00114429,2,0.3216,-0.12187,-1.3125,0.3216,0,0,0.8,-1.22372,4,0.32487,-0.000289751,0.3216,-0.12187,0.00327005,0.12158,-0.700289,2.61376,-1.22372,3.86337e-05,0.0129007,0.321467,-0.172862,9.3279e-06,-0.00233198,0.321506,0.324869,-0.000150577,-0.159962,0.314641,-0.00265028,-0.00686463,0.157311,-9.01776,-1.22372,1.91347,0.248342,1.19401,0,0,0,0
43,14263.5,0.00201855,0.00121086,2,0.32136,-0.130686,-1.6875,0.32136,0,0,0.8,-1.10372,4,0.324869,-0.000149261,0.32136,-0.130686,0.00350828,0.130537,-0.416063,2.73924,-1.10372,3.10997e-05,0.0112118,0.32115,-0.177997,6.56153e-06,-0.00164038,0.321181,0.324868,-3.30298e-06,-0.166785,0.318791,-0.00155172,-0.00238958,0.165234,-8.47934,-1.10372,2.32318,0.250784,1.22472,0,0,0,0
44,14263.5,0.00201802,0.00122047,2,0.321121,-0.138414,-1.59375,0.321121,0,0,0.8,-0.98372,4,0.324868,-1.96398e-06,0.321121,-0.138414,0.00374677,0.138412,-0.465108,2.8654,-0.98372,3.7982e-05,0.0101182,0.320813,-0.183744,1.26113e-05,-0.00315282,0.320851,0.324867,0.000149546,-0.173626,0.318074,-0.00156974,-0.00277765,0.172056,-7.94077,-0.98372,2.40029,0.253284,1.2524,0,0,0,0
45,14263.5,0.00201424,0.00120739,2,0.320913,-0.143202,-1.21875,0.320913,0,0,0.8,-0.86372,4,0.324867,0.000150603,0.320913,-0.143202,0.00395361,0.143353,-0.703336,2.98516,-0.86372,5.26526e-05,0.0094606,0.320472,-0.189507,2.32711e-05,-0.00581777,0.320525,0.324866,0.000306251,-0.180047,0.314593,-0.00222019,-0.0059319,0.177826,-7.40401,-0.86372,2.28182,0.255831,1.27656,0,0,0,0
46,14263.5,0.00202146,0.00121555,2,0.32053,-0.144862,-1.40625,0.32053,0,0,0.8,-0.74372,4,0.324866,0.000307962,0.32053,-0.144862,0.00433654,0.14517,-1.13263,3.09003,-0.74372,7.48178e-05,0.00933586,0.320135,-0.194855,3.82157e-05,-0.00955393,0.32021,0.324866,0.000466168,-0.185519,0.308322,-0.00350991,-0.0118882,0.182009,-6.87144,-0.74372,1.9574,0.258433,1.2969,0,0,0,0
47,14263.5,0.00201076,0.00117555,2,0.320354,-0.141467,-0.84375,0.320354,0,0,0.8,-0.62372,4,0.324866,0.000466992,0.320354,-0.141467,0.00451207,0.141934,-1.21497,3.17317,-0.62372,7.73248e-05,0.00974998,0.319812,-0.199262,3.93352e-05,-0.00983379,0.319889,0.324866,0.000625972,-0.189512,0.307119,-0.00362841,-0.0127699,0.185883,-6.34497,-0.62372,1.9582,0.261058,1.31282,0,0,0,0
48,14263.5,0.00201112,0.00117254,2,0.320194,-0.13603,-0.84375,0.320194,0,0,0.8,-0.50372,4,0.324866,0.000626855,0.320194,-0.13603,0.00467195,0.136657,-1.69,3.22271,-0.50372,9.67564e-05,0.0108805,0.319485,-0.202202,5.0781e-05,-0.0126953,0.319581,0.324866,0.00078465,-0.191321,0.30018,-0.00506978,-0.0194009,0.186251,-5.82791,-0.50372,1.53271,0.26371,1.32403,0,0,0,0
49,14263.5,0.00201114,0.00126612,2,0.320018,-0.128892,-0.09375,0.320018,0,0,0.8,-0.38372,4,0.324866,0.000785506,0.320018,-0.128892,0.00484812,0.129677,-2.40639,3.23295,-0.38372,0.000124953,0.0123517,0.319175,-0.202977,6.88283e-05,-0.0172071,0.3193,0.324865,0.00090481,-0.190625,0.289717,-0.00732593,-0.0295836,0.183299,-5.32183,-0.38372,0.826553,0.26638,1.33014,0,0,0,0
50,14263.5,0.00201228,0.00123495,2,0.319858,-0.120456,0,0.319858,0,0,0.8,-0.26372,4,0.324867,0.000945201,0.319858,-0.120456,0.0050086,0.121401,-3.02724,3.20293,-0.26372,0.000152205,0.0138925,0.318898,-0.201269,8.37406e-05,-0.0209352,0.31905,0.324868,0.00111481,-0.187376,0.280649,-0.00925898,-0.0384011,0.178117,-4.827,-0.26372,0.175687,0.269059,1.33301,0,0,0,0
51,14263.5,0.00201517,0.00117708,2,0.319699,-0.112077,-0.375,0.319699,0,0,0.8,-0.38372,4,0.324868,0.00111618,0.319699,-0.112077,0.00516945,0.113193,-3.6326,3.1348,-0.38372,0.000177151,0.0153113,0.318656,-0.19703,9.84918e-05,-0.0246229,0.318833,0.324869,0.00130387,-0.181719,0.271808,-0.0111285,-0.0470254,0.170591,-5.35127,-0.38372,-0.497794,0.27175,1.33823,0,0,0,0
52,14263.5,0.00201066,0.00119739,2,0.319523,-0.105152,-0.375,0.319523,0,0,0.8,-0.50372,4,0.324869,0.00130491,0.319523,-0.105152,0.00534663,0.106456,-4.10281,3.06507,-0.50372,0.000196763,0.0163609,0.318448,-0.192422,0.000110179,-0.0275448,0.318645,0.324871,0.00151107,-0.176061,0.264941,-0.0125248,-0.0537043,0.163536,-5.87603,-0.50372,-1.03774,0.27445,1.34884,0,0,0,0
53,14263.5,0.00200942,0.00127194,2,0.319379,-0.0996739,0.46875,0.319379,0,0,0.8,-0.62372,4,0.324871,0.0015121,0.319379,-0.0996739,0.00549223,0.101186,-4.37993,2.99981,-0.62372,0.000208107,0.0170441,0.318269,-0.187813,0.000116843,-0.0292109,0.318478,0.324873,0.00173701,-0.170769,0.260895,-0.0132517,-0.0575827,0.157517,-6.3996,-0.62372,-1.38012,0.277176,1.36424,0,0,0,0
54,14263.5,0.00201008,0.00124261,2,0.319187,-0.0957938,-0.1875,0.319187,0,0,0.8,-0.74372,4,0.324874,0.00173822,0.319187,-0.0957938,0.00568622,0.097532,-4.57806,2.94397,-0.74372,0.000216744,0.0174089,0.31811,-0.183568,0.000122128,-0.030532,0.318327,0.324876,0.00198206,-0.166159,0.258003,-0.0136935,-0.0603242,0.152466,-6.9206,-0.74372,-1.63409,0.279937,1.38384,0,0,0,0
55,14263.5,0.00201066,0.00127632,2,0.319027,-0.0930421,-0.09375,0.319027,0,0,0.8,-0.86372,4,0.324876,0.00198341,0.319027,-0.0930421,0.00584873,0.0950255,-4.56628,2.90231,-0.86372,0.000215893,0.0175001,0.317967,-0.18,0.000121452,-0.0303629,0.318183,0.324879,0.00224622,-0.1625,0.258178,-0.0134086,-0.0600053,0.149092,-7.43771,-0.86372,-1.66397,0.282742,1.40708,0,0,0,0
