t,q,dq,q_next,dq_next,qacc,r_star_q,r_star_dq,r_star_next_q,r_star_next_dq,x_hat_q,x_hat_dq,x_hat_next_q,x_hat_next_dq,eta_q,eta_dq,eta_filter_next_q,eta_filter_next_dq,x_bar_q,x_bar_dq,x_bar_next_q,x_bar_next_dq,x_tilde_q,x_tilde_dq,r_d_q,r_d_dq,e_q_t,e_dq_t,u_star,u_t,d_in_t,u_plant_raw_t,u_plant_t,observer_qacc,observer_tau_applied
0.42,1.352686455425,0.044021155918827,1.35269444453357,0.00399455428282599,-20.0133008180005,1.35273190603666,0.0432303729279313,1.35273836678251,0.00323037292793134,1.352686455425,0.044021155918827,1.35269444453357,0.00399455428282599,0,0,0,0,1.352686455425,0.044021155918827,1.35269444453357,0.00399455428282599,0,0,1.34964741514864,0.0430168312510684,-0.00303904027636137,-0.00100432466775856,-0.805811381068701,-0.808228315873611,0,-0.808228315873611,-0.808228315873611,-20.0133008180005,-0.808228315873611
0.422,1.35269444453357,0.00399455428282599,1.35262238223111,-0.0360311512272796,-20.0128527550528,1.35273836678251,0.00323037292793134,1.35266482752837,-0.0367696270720687,1.35269444453357,0.00399455428282599,1.35262238223111,-0.0360311512272796,0,0,0,0,1.35269444453357,0.00399455428282599,1.35262238223111,-0.0360311512272796,0,0,1.34950078650976,0.00300623275520211,-0.00319365802380678,-0.00098832152762388,-0.845805394025564,-0.848140873686992,0,-0.848140873686992,-0.848140873686992,-20.0128527550528,-0.848140873686992
0.424,1.35262238223111,-0.0360311512272796,1.35247027024942,-0.0760559908432617,-20.0124198079911,1.35266482752837,-0.0367696270720687,1.35251128827423,-0.0767696270720687,1.35262238223111,-0.0360311512272796,1.35247027024942,-0.0760559908432617,0,0,0,0,1.35262238223111,-0.0360311512272796,1.35247027024942,-0.0760559908432617,0,0,1.34927387405916,-0.0370043853891678,-0.00334850817194998,-0.000973234161888152,-0.885873551702158,-0.888130339620982,0,-0.888130339620982,-0.888130339620982,-20.0124198079911,-0.888130339620982
0.426,1.35247027024942,-0.0760559908432617,1.35223811026187,-0.116079993779358,-20.012001468048,1.35251128827423,-0.0767696270720687,1.35227774902008,-0.116769627072069,1.35247027024942,-0.0760559908432617,1.35223811026187,-0.116079993779358,0,0,0,0,1.35247027024942,-0.0760559908432617,1.35223811026187,-0.116079993779358,0,0,1.34896667751428,-0.0770150232016032,-0.003503592735141,-0.000959032358341425,-0.926015927916677,-0.928196693586807,0,-0.928196693586807,-0.928196693586807,-20.012001468048,-0.928196693586807
0.428,1.35223811026187,-0.116079993779358,1.35192590388533,-0.156103188265702,-20.011597243172,1.35227774902008,-0.116769627072069,1.35196420976594,-0.156769627072069,1.35223811026187,-0.116079993779358,1.35192590388533,-0.156103188265702,0,0,0,0,1.35223811026187,-0.116079993779358,1.35192590388533,-0.156103188265702,0,0,1.34857919628529,-0.117025680722939,-0.00365891397657547,-0.000945686943581187,-0.966232676761503,-0.968339998894084,0,-0.968339998894084,-0.968339998894084,-20.011597243172,-0.968339998894084
0.43,1.35192590388533,-0.156103188265702,1.35153365268217,-0.196125601580891,-20.0112066575949,1.35196420976594,-0.156769627072069,1.35157067051179,-0.196769627072069,1.35192590388533,-0.156103188265702,1.35153365268217,-0.196125601580891,0,0,0,0,1.35192590388533,-0.156103188265702,1.35153365268217,-0.196125601580891,0,0,1.34811142947507,-0.157036358015282,-0.0038144744102615,-0.000933169749580659,-1.00652403260273,-1.00856040216044,0,-1.00856040216044,-1.00856040216044,-20.0112066575949,-1.00856040216044
0.432,1.35153365268217,-0.196125601580891,1.35106135816201,-0.236147260083678,-20.0108292513934,1.35157067051179,-0.196769627072069,1.35109713125765,-0.236769627072069,1.35153365268217,-0.196125601580891,1.35106135816201,-0.236147260083678,0,0,0,0,1.35153365268217,-0.196125601580891,1.35106135816201,-0.236147260083678,0,0,1.34756337587928,-0.197047055162012,-0.00397027680289241,-0.000921453581120446,-1.04689031007252,-1.0488581332122,0,-1.0488581332122,-1.0488581332122,-20.0108292513934,-1.0488581332122
0.434,1.35106135816201,-0.236147260083678,1.35050902178352,-0.276168189243416,-20.0104645798688,1.35109713125765,-0.236769627072069,1.35054359200351,-0.276769627072069,1.35106135816201,-0.236147260083678,1.35050902178352,-0.276168189243416,0,0,0,0,1.35106135816201,-0.236147260083678,1.35050902178352,-0.276168189243416,0,0,1.34693503398654,-0.237057772267761,-0.00412632417546233,-0.000910512184082501,-1.08733190401018,-1.08923350493369,0,-1.08923350493369,-1.08923350493369,-20.0104645798688,-1.08923350493369
0.436,1.35050902178352,-0.276168189243416,1.34987664495618,-0.316188413669879,-20.0101122132317,1.35054359200351,-0.276769627072069,1.34991005274936,-0.316769627072069,1.35050902178352,-0.276168189243416,1.34987664495618,-0.316188413669879,0,0,0,0,1.35050902178352,-0.276168189243416,1.34987664495618,-0.316188413669879,0,0,1.34622640197848,-0.277068509458417,-0.00428261980504274,-0.000900320215001138,-1.127849289462,-1.12968691318113,0,-1.12968691318113,-1.12968691318113,-20.0101122132317,-1.12968691318113
0.438,1.34987664495618,-0.316188413669879,1.34916422904189,-0.356207957141872,-20.0097717359963,1.34991005274936,-0.316769627072069,1.34919651349522,-0.356769627072069,1.34987664495618,-0.316188413669879,1.34916422904189,-0.356207957141872,0,0,0,0,1.34987664495618,-0.316188413669879,1.34916422904189,-0.356207957141872,0,0,1.34543747772996,-0.317079266881104,-0.0044391672262214,-0.000890853211225173,-1.1684430216077,-1.17021883661962,0,-1.17021883661962,-1.17021883661962,-20.0097717359963,-1.17021883661962
0.44,1.34916422904189,-0.356207957141872,1.34837177535662,-0.396226842635054,-20.009442746591,1.34919651349522,-0.356769627072069,1.34840297424107,-0.396769627072069,1.34916422904189,-0.356207957141872,1.34837177535662,-0.396226842635054,0,0,0,0,1.34916422904189,-0.356207957141872,1.34837177535662,-0.396226842635054,0,0,1.34456825880927,-0.357090044704172,-0.00459597023262193,-0.000882087562300793,-1.20911373572334,-1.21082983660312,0,-1.21082983660312,-1.21082983660312,-20.009442746591,-1.21082983660312
0.442,1.34837177535662,-0.396226842635054,1.34749928517193,-0.436245092348993,-20.0091248569694,1.34840297424107,-0.396769627072069,1.34752943498693,-0.436769627072069,1.34837177535662,-0.396226842635054,1.34749928517193,-0.436245092348993,0,0,0,0,1.34837177535662,-0.396226842635054,1.34749928517193,-0.436245092348993,0,0,1.34361874247829,-0.397100843117185,-0.0047530328783385,-0.000874000482130821,-1.24986214713666,-1.25152055704637,0,-1.25152055704637,-1.25152055704637,-20.0091248569694,-1.25152055704637
0.444,1.34749928517193,-0.436245092348993,1.34654675971646,-0.476262727733109,-20.008817692058,1.34752943498693,-0.436769627072069,1.34657589573278,-0.476769627072069,1.34749928517193,-0.436245092348993,1.34654675971646,-0.476262727733109,0,0,0,0,1.34749928517193,-0.436245092348993,1.34654675971646,-0.476262727733109,0,0,1.34258892569279,-0.437111662330894,-0.00491035947913709,-0.000866569981901044,-1.29068905113504,-1.29229172424986,0,-1.29229172424986,-1.29229172424986,-20.008817692058,-1.29229172424986
0.446,1.34654675971646,-0.476262727733109,1.34551420017744,-0.516279769511906,-20.0085208893987,1.34657589573278,-0.476769627072069,1.34554235647864,-0.516769627072069,1.34654675971646,-0.476262727733109,1.34551420017744,-0.516279769511906,0,0,0,0,1.34654675971646,-0.476262727733109,1.34551420017744,-0.516279769511906,0,0,1.34147880510274,-0.477122502577226,-0.00506795461372311,-0.000859774844117145,-1.33159532290515,-1.33314414676212,0,-1.33314414676212,-1.33314414676212,-20.0085208893987,-1.33314414676212
0.448,1.34551420017744,-0.516279769511906,1.34440160770202,-0.556296237709496,-20.0082340987953,1.34554235647864,-0.516769627072069,1.3444288172245,-0.556769627072069,1.34551420017744,-0.516279769511906,1.34440160770202,-0.556296237709496,0,0,0,0,1.34551420017744,-0.516279769511906,1.34440160770202,-0.556296237709496,0,0,1.34028837705251,-0.517133364109263,-0.00522582312493092,-0.000853594597356677,-1.37258191746453,-1.37407871523446,0,-1.37407871523446,-1.37407871523446,-20.0082340987953,-1.37407871523446
0.45,1.34440160770202,-0.556296237709496,1.34320898339867,-0.59631215167308,-20.007956981792,1.3444288172245,-0.556769627072069,1.34323527797035,-0.596769627072069,1.34440160770202,-0.556296237709496,1.34320898339867,-0.59631215167308,0,0,0,0,1.34440160770202,-0.556296237709496,1.34320898339867,-0.59631215167308,0,0,1.33901763758134,-0.55714424720121,-0.00538397012067771,-0.000848009491713819,-1.41364986954519,-1.41509640222705,0,-1.41509640222705,-1.41509640222705,-20.007956981792,-1.41509640222705
0.452,1.34320898339867,-0.59631215167308,1.34193632833848,-0.636327530095785,-20.0076892113523,1.34323527797035,-0.596769627072069,1.34196173871621,-0.636769627072069,1.34320898339867,-0.59631215167308,1.34193632833848,-0.636327530095785,0,0,0,0,1.34320898339867,-0.59631215167308,1.34193632833848,-0.636327530095785,0,0,1.33766658242368,-0.597155152148377,-0.00554240097499203,-0.000843000475296396,-1.45480029350843,-1.45619826205326,0,-1.45619826205326,-1.45619826205326,-20.0076892113523,-1.45619826205326
0.454,1.34193632833848,-0.636327530095785,1.3405876435564,-0.67434239103884,-19.0074304715275,1.34196173871621,-0.636769627072069,1.34061219946206,-0.674769627072069,1.34193632833848,-0.636327530095785,1.3405876435564,-0.67434239103884,0,0,0,0,1.34193632833848,-0.636327530095785,1.3405876435564,-0.67434239103884,0,0,1.33714622520634,-0.637103008776598,-0.0047901031321449,-0.000775478680813513,-1.25803438324854,-1.25938543061232,0,-1.25938543061232,-1.25938543061232,-19.0074304715275,-1.25938543061232
0.456,1.3405876435564,-0.67434239103884,1.33916693005249,-0.710356751956303,-18.0071804587317,1.34061219946206,-0.674769627072069,1.33919066020792,-0.710769627072069,1.3405876435564,-0.67434239103884,1.33916693005249,-0.710356751956303,0,0,0,0,1.3405876435564,-0.67434239103884,1.33916693005249,-0.710356751956303,0,0,1.33655721343761,-0.675050356873761,-0.00403043011878745,-0.000707965834921609,-1.05934950278726,-1.06065521591333,0,-1.06065521591333,-1.06065521591333,-18.0071804587317,-1.06065521591333
0.458,1.33916693005249,-0.710356751956303,1.33767818879306,-0.744370629714629,-17.0069388791628,1.33919066020792,-0.710769627072069,1.33770112095378,-0.744769627072069,1.33916693005249,-0.710356751956303,1.33767818879306,-0.744370629714629,0,0,0,0,1.33916693005249,-0.710356751956303,1.33767818879306,-0.744370629714629,0,0,1.33590355726865,-0.710997195737095,-0.00326337278384159,-0.000640443780792088,-0.85874300018115,-0.860004911853071,0,-0.860004911853071,-0.860004911853071,-17.0069388791628,-0.860004911853071
0.46,1.33767818879306,-0.744370629714629,1.33612542071184,-0.776384040611859,-16.0067054486148,1.33770112095378,-0.744769627072069,1.33614758169963,-0.776769627072069,1.33767818879306,-0.744370629714629,1.33612542071184,-0.776384040611859,0,0,0,0,1.33767818879306,-0.744370629714629,1.33612542071184,-0.776384040611859,0,0,1.33518926695906,-0.744943524656319,-0.00248892183400429,-0.000572894941689772,-0.656212195143645,-0.657431785791531,0,-0.657431785791531,-0.657431785791531,-16.0067054486148,-0.657431785791531
0.462,1.33612542071184,-0.776384040611859,1.33451262671104,-0.806397000396151,-15.0064798921462,1.33614758169963,-0.776769627072069,1.33453404244549,-0.806769627072069,1.33612542071184,-0.776384040611859,1.33451262671104,-0.806397000396151,0,0,0,0,1.33612542071184,-0.776384040611859,1.33451262671104,-0.806397000396151,0,0,1.33441835292183,-0.776889342910532,-0.00170706779000573,-0.000505302298673516,-0.451754367320539,-0.452933066777614,0,-0.452933066777614,-0.452933066777614,-15.0064798921462,-0.452933066777614
0.464,1.33451262671104,-0.806397000396151,1.33284380766248,-0.834409524283961,-14.0062619439051,1.33453404244549,-0.806769627072069,1.33286450319134,-0.834769627072069,1.33451262671104,-0.806397000396151,1.33284380766248,-0.834409524283961,0,0,0,0,1.33451262671104,-0.806397000396151,1.33284380766248,-0.834409524283961,0,0,1.33359482576546,-0.806834649765302,-0.000917800945585023,-0.000437649369150805,-0.245366745285568,-0.246505934496821,0,-0.246505934496821,-0.246505934496821,-14.0062619439051,-0.246505934496821
0.466,1.33284380766248,-0.834409524283961,1.33112296440852,-0.860421626977554,-13.0060513467967,1.33286450319134,-0.834769627072069,1.3311429639372,-0.860769627072069,1.33284380766248,-0.834409524283961,1.33112296440852,-0.860421626977554,0,0,0,0,1.33284380766248,-0.834409524283961,1.33112296440852,-0.860421626977554,0,0,1.33272269633356,-0.834779444469916,-0.000121111328921231,-0.00036992018595472,-0.0370464961861761,-0.0381475088667049,0,-0.0381475088667049,-0.0381475088667049,-13.0060513467967,-0.0381475088667049
0.468,1.33112296440852,-0.860421626977554,1.32935409776316,-0.884433322682167,-12.0058478523065,1.3311429639372,-0.860769627072069,1.32937342468306,-0.884769627072069,1.33112296440852,-0.860421626977554,1.32935409776316,-0.884433322682167,0,0,0,0,1.33112296440852,-0.860421626977554,1.32935409776316,-0.884433322682167,0,0,1.33180597574174,-0.860723726254832,0.0006830113332148,-0.000302099277277312,0.173209283889808,0.172145159644856,0,0.172145159644856,0.172145159644856,-12.0058478523065,0.172145159644856
0.47,1.32935409776316,-0.884433322682167,1.32754120851291,-0.90644462512251,-11.005651220171,1.32937342468306,-0.884769627072069,1.32755988542891,-0.906769627072069,1.32935409776316,-0.884433322682167,1.32754120851291,-0.90644462512251,0,0,0,0,1.32935409776316,-0.884433322682167,1.32754120851291,-0.90644462512251,0,0,1.33084867541201,-0.884667494329295,0.00149457764884908,-0.000234171647128023,0.385403578897123,0.384375099052457,0,0.384375099052457,0.384375099052457,-11.005651220171,0.384375099052457
0.472,1.32754120851291,-0.90644462512251,1.32568829741779,-0.926455547558921,-10.0054612182057,1.32755988542891,-0.906769627072069,1.32570634617477,-0.926769627072069,1.32754120851291,-0.90644462512251,1.32568829741779,-0.926455547558921,0,0,0,0,1.32754120851291,-0.90644462512251,1.32568829741779,-0.926455547558921,0,0,1.32985480710438,-0.906610747879152,0.00231359859147151,-0.000166122756642073,0.599539461095337,0.598545424163035,0,0.598545424163035,0.598545424163035,-10.0054612182057,0.598545424163035
