cycle,t,joint_id,motor_q,motor_dq,motor_tau,motor_kp,motor_kd,tau_applied,tau_dist,tau_total,disturbance_scale,q_ref_shaped,dq_ref_shaped,q_actual,dq_actual,q_error_shaped,dq_error_shaped,kp_cmd,kd_cmd,tau_cmd,debug_9,debug_10,debug_11,debug_12,debug_13,debug_14,debug_15,debug_16,debug_17,debug_18,debug_19,debug_20,debug_21,debug_22,debug_23,debug_24,debug_25,debug_26,debug_27,debug_28,debug_29,debug_30,debug_31,debug_32,flags,joint_flags
85,0.17,2,0.778155207634,-0.0190173722804,0,120,5,-0.0511216666093,0,-0.0511216666093,0,0.77815520637,-0.0190173714785,0.778382634889,-0.0142512930878,-0.000227428518936,-0.00476607839068,120,5,0,0.7038944393,-1.18710816306,-0.0744881955891,-1.17285686998,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0
90,0.18,1,-0.522354900837,0.018696339801,0,120,5,0.0845738717276,0,0.0845738717276,0,-0.522354894607,0.0186963394143,-0.522720791578,0.0105629432454,0.000365896971585,0.00813339616893,120,5,0,-0.453143137211,1.04238631286,0.0695776543669,1.03182336961,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0
90,0.18,2,0.777943611145,-0.0233704242855,0,120,5,-0.0609396354304,0,-0.0609396354304,0,0.777943618245,-0.0233704244933,0.778219319463,-0.0177994968241,-0.000275701217999,-0.0055709276692,120,5,0,0.691428920208,-1.30298289861,-0.0867903992549,-1.28518340178,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0
95,0.19,1,-0.522149682045,0.0223493892699,0,120,5,0.0997965231415,0,0.0997965231415,0,-0.522149669849,0.022349390103,-0.522599700546,0.0131905286647,0.000450030696802,0.0091588614383,120,5,0,-0.442359026187,1.10820023416,0.0802406743594,1.0950097055,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0
95,0.19,2,0.777687072754,-0.0279367379844,0,120,5,-0.0696700051279,0,-0.0696700051279,0,0.777687087296,-0.0279367378722,0.77801700906,-0.021921208306,-0.000329921764501,-0.00601552956613,120,5,0,0.677948781355,-1.38525029963,-0.100068227705,-1.36332909133,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0
100,0.2,1,-0.521908402443,0.0258569642901,0,120,5,0.11353417143,0,0.11353417143,0,-0.521908401419,0.0258569637319,-0.522450240786,0.0161542502328,0.000541839366421,0.00970271349912,120,5,0,-0.43112313466,1.1312876547,0.0913271061259,1.11513340447,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0
100,0.2,2,0.777385473251,-0.0323212035,0,120,5,-0.0755591992401,0,-0.0755591992401,0,0.777385501756,-0.03232120493,0.777770816383,-0.0264575988014,-0.000385314626778,-0.00586360612861,120,5,0,0.663903916879,-1.41410957506,-0.113866899504,-1.38765197626,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0
105,0.21,1,-0.521631300449,0.0297293998301,0,120,5,0.128353193882,0,0.128353193882,0,-0.521631300103,0.0297294003666,-0.522269586254,0.0193776203591,0.000638286150811,0.0103517800076,120,5,0,-0.419704811114,1.16097836261,0.10256477514,1.14160074225,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0
105,0.21,2,0.777039110661,-0.0371617525816,0,120,5,-0.082282994259,0,-0.082282994259,0,0.777039125108,-0.0371617507438,0.777477812882,-0.0312340070486,-0.000438687774669,-0.00592774369516,120,5,0,0.649631012381,-1.45122295959,-0.127846800502,-1.41998895254,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0
110,0.22,1,-0.521311104298,0.0344185195863,0,120,5,0.146523810693,0,0.146523810693,0,-0.521311085181,0.0344185200371,-0.522054655512,0.0229589865954,0.00074357033149,0.0114595334416,120,5,0,-0.40780063962,1.22197927162,0.114254015892,1.19902028503,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0
110,0.22,2,0.776638865471,-0.0430231504142,0,120,5,-0.0924019450375,0,-0.0924019450375,0,0.776638856452,-0.0430231503444,0.777134660881,-0.0364418512376,-0.000495804428818,-0.00658129910688,120,5,0,0.634750797954,-1.52747409504,-0.142383862927,-1.4910322438,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0
115,0.23,1,-0.520941495895,0.0395438745618,0,120,5,0.166002591922,0,0.166002591922,0,-0.520941478032,0.039543872819,-0.521801304364,0.0269787594208,0.000859826332258,0.0125651133981,120,5,0,-0.395270264104,1.28190051858,0.12653104026,1.25492175916,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0
115,0.23,2,0.776176869869,-0.0494298413396,0,120,5,-0.103118151112,0,-0.103118151112,0,0.776176847512,-0.04942984133,0.776736004988,-0.042225453978,-0.000559157476055,-0.00720438735194,120,5,0,0.619087828509,-1.60237565281,-0.15764817648,-1.56015019883,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0
120,0.24,1,-0.520519971848,0.0447488576174,0,120,5,0.184860890043,0,0.184860890043,0,-0.520519954884,0.0447488573235,-0.521505172381,0.0314214924146,0.000985217497204,0.013327364909,120,5,0,-0.382232447398,1.32130818555,0.139272724983,1.28988669313,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0
120,0.24,2,0.775649964809,-0.0559360720217,0,120,5,-0.112192706854,0,-0.112192706854,0,0.775649943575,-0.0559360719692,0.77627628215,-0.0485291468317,-0.000626338575643,-0.00740692513749,120,5,0,0.602790557584,-1.65163523578,-0.173485724566,-1.60310608895,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0
125,0.25,1,-0.520047068596,0.0497921146452,0,120,5,0.201799365717,0,0.201799365717,0,-0.520047064468,0.049792112895,-0.521162497826,0.0362025430288,0.00111543335818,0.0135895698663,120,5,0,-0.368935511785,1.33372429982,0.152226986041,1.29752175679,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0
125,0.25,2,0.775058805943,-0.0622401423752,0,120,5,-0.118487985692,0,-0.118487985692,0,0.775058830552,-0.0622401414485,0.775751354994,-0.0551637224638,-0.000692524442114,-0.00707641898468,120,5,0,0.586169388031,-1.66715537833,-0.189581966962,-1.61199165587,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0
130,0.26,1,-0.519523024559,0.055145509541,0,120,5,0.219207409161,0,0.219207409161,0,-0.519523021587,0.0551455080891,-0.52077045387,0.0412423311707,0.00124743228259,0.0139031769184,120,5,0,-0.355546197629,1.34814641054,0.165224256241,1.30690407937,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0
130,0.26,2,0.774403750896,-0.0689318850636,0,120,5,-0.125470612202,0,-0.125470612202,0,0.774403776947,-0.0689318854526,0.77515907178,-0.0619654638322,-0.000755294832793,-0.00696642162043,120,5,0,0.569432745302,-1.68518301632,-0.205726326478,-1.62321755249,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0
135,0.27,1,-0.5189422369,0.0610717013478,0,120,5,0.238411935366,0,0.238411935366,0,-0.518942250485,0.0610717013668,-0.520326147728,0.0466031741392,0.0013838972432,0.0144685272276,120,5,0,-0.341933449121,1.37465617427,0.178392698607,1.32805300013,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0
135,0.27,2,0.773677825928,-0.0763396248221,0,120,5,-0.13465963642,0,-0.13465963642,0,0.773677813066,-0.0763396270475,0.774497085787,-0.069069934168,-0.000819272721519,-0.00726969287956,120,5,0,0.55241680964,-1.71832022006,-0.222080276147,-1.64925028589,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0
140,0.28,1,-0.518300890923,0.0672145783901,0,120,5,0.25752567057,0,0.25752567057,0,-0.518300880391,0.0672145768442,-0.519826117153,0.0523148738009,0.00152523676163,0.0148997030433,120,5,0,-0.32807167376,1.39593337002,0.191754443393,1.34361849622,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0
140,0.28,2,0.772876083851,-0.0840182229877,0,120,5,-0.143680095573,0,-0.143680095573,0,0.772876100445,-0.0840182213852,0.773761838243,-0.0765403092947,-0.000885737798106,-0.00747791209052,120,5,0,0.535089590422,-1.74491671371,-0.238672247822,-1.66837640441,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0
145,0.29,1,-0.517597973347,0.0733554139733,0,120,5,0.275393477612,0,0.275393477612,0,-0.517597991807,0.0733554110337,-0.519267067233,0.0583349717262,0.00166907542629,0.0150204393075,120,5,0,-0.314056383711,1.40507728564,0.205210683522,1.34674231391,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0
145,0.29,2,0.771997511387,-0.091694265604,0,120,5,-0.151316193588,0,-0.151316193588,0,0.771997489712,-0.0916942641142,0.772950092112,-0.0842929642836,-0.000952602399974,-0.00740129983063,120,5,0,0.517570477853,-1.75634660744,-0.255379614259,-1.67205364315,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0
150,0.3,1,-0.516833782196,0.0795113891363,0,120,5,0.292073491509,0,0.292073491509,0,-0.51683376002,0.0795113879717,-0.518646315081,0.0645974800738,0.001812555061,0.0149139078979,120,5,0,-0.300000000715,1.40560671787,0.218646314366,1.3410092378,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0
150,0.3,2,0.771042227745,-0.0993892326951,0,120,5,-0.158030883203,0,-0.158030883203,0,0.771042199975,-0.0993892352886,0.772059784604,-0.0922044206592,-0.00101758462861,-0.0071848146294,120,5,0,0.499999999106,-1.75700839742,-0.272059785497,-1.66480397676,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0
155,0.31,1,-0.516007244587,0.0857998654246,0,120,5,0.30818993557,0,0.30818993557,0,-0.5160072301,0.0857998654591,-0.517961675969,0.0710682314882,0.00195444586976,0.0147316339709,120,5,0,-0.285950335307,1.40334849472,0.232011340662,1.33228026323,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0
155,0.31,2,0.770009040833,-0.107249833643,0,120,5,-0.164801163262,0,-0.164801163262,0,0.770009037571,-0.107249832145,0.771089698538,-0.100225385934,-0.00108066096728,-0.007024446211,120,5,0,0.482437917347,-1.75418561805,-0.288651781192,-1.65396023212,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0
