layer,case,label,signal,fs_hz,peak_freq_hz_0p5_100,peak_psd,bandpower_0p5_3hz,bandpower_3_15hz,bandpower_15_80hz
residual,O5U1_lambda_0,O5+U1: lambda=0,hip_delta_tau_total,500.0000000000551,20.50781250000226,0.011538092137311835,0.0003971939391814199,5.9098431348203306e-05,0.03225422297277398
residual,O5U1_lambda_0,O5+U1: lambda=0,knee_delta_tau_total,500.0000000000551,20.50781250000226,0.008073216662633276,0.00016820530362930558,2.512596255577935e-05,0.023892734191530964
residual,O5U1_lambda_0,O5+U1: lambda=0,hip_eta_u,500.0000000000551,20.50781250000226,1.7336402311228555e-06,5.171649441241018e-07,2.497322689526438e-08,4.589273295238225e-06
residual,O5U1_lambda_0,O5+U1: lambda=0,knee_eta_u,500.0000000000551,20.50781250000226,3.035221495863869e-06,1.359097775981448e-06,6.066346641468238e-08,8.023899806184655e-06
residual,O5U1_lambda_0p5,O5+U1: lambda=0.5,coord_error,500.0000000000551,0.9765625000001076,0.00016324407343061627,0.00011134646437956028,7.37978072382161e-07,6.861673551586709e-08
residual,O5U1_lambda_0p5,O5+U1: lambda=0.5,hip_delta_tau_total,500.0000000000551,20.50781250000226,0.0115028247144427,0.00038081480012810005,5.868190581908801e-05,0.0322958765413871
residual,O5U1_lambda_0p5,O5+U1: lambda=0.5,knee_delta_tau_total,500.0000000000551,20.50781250000226,0.00804278654806812,0.00016473531594490278,2.7424210601301206e-05,0.023640466976816557
residual,O5U1_lambda_0p5,O5+U1: lambda=0.5,hip_eta_u,500.0000000000551,20.50781250000226,1.4784153441405527e-06,5.259713112398216e-07,2.685575718182834e-08,3.845319643450058e-06
residual,O5U1_lambda_0p5,O5+U1: lambda=0.5,knee_eta_u,500.0000000000551,20.50781250000226,2.5920189208916825e-06,1.3708508657580128e-06,6.345934211311125e-08,6.7209770682934045e-06
residual,O5U1_lambda_1,O5+U1: lambda=1,coord_error,500.0000000000551,0.9765625000001076,0.0001647558425394079,0.00011121664814035047,7.73550913564052e-07,6.823771769412805e-08
residual,O5U1_lambda_1,O5+U1: lambda=1,hip_delta_tau_total,500.0000000000551,20.50781250000226,0.01149632397328277,0.00037061713181651837,5.688340784078991e-05,0.0323137043859242
residual,O5U1_lambda_1,O5+U1: lambda=1,knee_delta_tau_total,500.0000000000551,20.50781250000226,0.00796516641301012,0.00016253210487289304,2.460524577613615e-05,0.023358994753740273
residual,O5U1_lambda_1,O5+U1: lambda=1,hip_eta_u,500.0000000000551,20.50781250000226,1.2572370497625643e-06,5.345623683468742e-07,2.5426170802634825e-08,3.282186234394592e-06
residual,O5U1_lambda_1,O5+U1: lambda=1,knee_eta_u,500.0000000000551,20.50781250000226,2.2080685412405275e-06,1.384295781611891e-06,6.064209209253544e-08,5.745430620268486e-06
