cycle,t,joint_id,motor_q,motor_dq,motor_tau,motor_kp,motor_kd,tau_controller,tau_disturbance,tau_before_limit,tau_sent,tau_limit,saturation_flag,q_ref_shaped,dq_ref_shaped,q_actual,dq_actual,q_error_shaped,dq_error_shaped,kp_cmd,kd_cmd,tau_cmd,debug_9,debug_10,debug_11,debug_12,debug_13,debug_14,debug_15,debug_16,debug_17,debug_18,debug_19,debug_20,debug_21,debug_22,debug_23,debug_24,debug_25,debug_26,debug_27,debug_28,debug_29,debug_30,debug_31,debug_32,flags,joint_flags
18,0.036,2,0.829999864101,-3.32029730998e-06,0,70,4,-9.76213938983e-06,0,-9.76213938983e-06,-9.76213938983e-06,300,0,0.829999892225,-3.32029722625e-06,0.830000025843,-3.71024853333e-06,-1.33618563103e-07,3.89951307084e-07,70,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
19,0.038,1,-0.399999856949,-3.60986156522e-08,0,120,3,1.34740917721e-05,0,1.34740917721e-05,1.34740917721e-05,200,0,-0.39999986112,-3.60986144529e-08,-0.400000017676,1.90161520382e-06,1.56555547082e-07,-1.93771381827e-06,120,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
19,0.038,2,0.829999864101,2.88788903902e-08,0,70,4,4.81250744132e-06,0,4.81250744132e-06,4.81250744132e-06,300,0,0.829999888896,2.88788905447e-08,0.830000018105,-3.86930825155e-06,-1.29208655553e-07,3.89818714209e-06,70,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
20,0.04,1,-0.399999856949,-4.39119048679e-06,0,120,3,-1.27046457951e-07,0,-1.27046457951e-07,-1.27046457951e-07,200,0,-0.399999865539,-4.39119047184e-06,-0.400000013824,1.92614451431e-06,1.48284787727e-07,-6.31733498615e-06,120,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
20,0.04,2,0.829999864101,3.51295238943e-06,0,70,4,1.90239057247e-05,0,1.90239057247e-05,1.90239057247e-05,300,0,0.829999892431,3.51295237871e-06,0.830000010495,-3.80491238987e-06,-1.18064054533e-07,7.31786476857e-06,70,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
21,0.042,1,-0.399999886751,-8.6706932052e-06,0,120,3,-1.67151763908e-05,0,-1.67151763908e-05,-1.67151763908e-05,200,0,-0.399999878635,-8.67069328498e-06,-0.40000001015,1.83696809622e-06,1.31514177382e-07,-1.05076613812e-05,120,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
21,0.042,2,0.829999923706,6.93655465511e-06,0,70,4,3.62600849064e-05,0,3.62600849064e-05,3.62600849064e-05,300,0,0.829999902908,6.93655463142e-06,0.830000003447,-3.52393588076e-06,-1.00538843473e-07,1.04604905122e-05,70,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
22,0.044,1,-0.399999886751,-1.25955093608e-05,0,120,3,-2.81975748306e-05,0,-2.81975748306e-05,-2.81975748306e-05,200,0,-0.399999899986,-1.25955090443e-05,-0.400000006928,1.61075748724e-06,1.06942246114e-07,-1.42062665315e-05,120,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
22,0.044,2,0.829999923706,1.00764073068e-05,0,70,4,4.70726142592e-05,0,4.70726142592e-05,4.70726142592e-05,300,0,0.829999919989,1.00764072409e-05,0.829999997482,-2.98281697254e-06,-7.74928764491e-08,1.30592242135e-05,70,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
23,0.046,1,-0.399999916553,-1.58516522788e-05,0,120,3,-4.09076890433e-05,0,-4.09076890433e-05,-4.09076890433e-05,200,0,-0.399999928572,-1.58516524891e-05,-0.400000004337,1.29558001098e-06,7.57644724736e-08,-1.71472325001e-05,120,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
23,0.046,2,0.829999923706,1.26813220049e-05,0,70,4,5.49992788272e-05,0,5.49992788272e-05,5.49992788272e-05,300,0,0.829999942858,1.26813219984e-05,0.829999992922,-2.27977624738e-06,-5.00640330303e-08,1.49610982458e-05,70,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
24,0.048,1,-0.399999976158,-1.80902516149e-05,0,120,3,-5.37941322097e-05,0,-5.37941322097e-05,-5.37941322097e-05,200,0,-0.399999962715,-1.80902511074e-05,-0.400000002544,8.96551794902e-07,3.98289604076e-08,-1.89868029023e-05,120,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
24,0.048,2,0.829999983311,1.44722007462e-05,0,70,4,6.32083970213e-05,0,6.32083970213e-05,6.32083970213e-05,300,0,0.829999970172,1.44722008942e-05,0.829999990027,-1.44743552836e-06,-1.98552351227e-08,1.59196364226e-05,70,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
25,0.05,1,-0.40000000596,-1.89275451703e-05,0,120,3,-5.85299095306e-05,0,-5.85299095306e-05,-5.85299095306e-05,200,0,-0.4,-1.8927545136e-05,-0.400000001718,4.12738690198e-07,1.71831487927e-09,-1.93402838262e-05,120,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
25,0.05,2,0.829999983311,1.51420363181e-05,0,70,4,6.21002961109e-05,0,6.21002961109e-05,6.21002961109e-05,300,0,0.83,1.51420361176e-05,0.82999998906,-4.83647081525e-07,1.09401935289e-08,1.56256831991e-05,70,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
26,0.052,1,-0.40000000596,3.96257455577e-05,0,120,3,0.000118640396603,0,0.000118640396603,0.000118640396603,200,0,-0.399999998543,3.96257441158e-05,-0.400000001886,-8.40178629584e-08,3.3433377733e-09,3.97097619788e-05,120,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
26,0.052,2,0.829999983311,-3.17005942634e-05,0,70,4,-0.000129150239868,0,-0.000129150239868,-0.000129150239868,300,0,0.829999998834,-3.17005952839e-05,0.82999999,4.69909499214e-07,8.83478490366e-09,-3.21705047832e-05,70,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
27,0.054,1,-0.399999767542,0.000208657846088,0,120,3,0.000651086833636,0,0.000651086833636,0.000651086833636,200,0,-0.399999767845,0.000208657842939,-0.40000000003,9.28407549772e-07,2.32184150628e-07,0.00020772943539,120,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
27,0.054,2,0.829999804497,-0.000166926271049,0,70,4,-0.000674507437346,0,-0.000674507437346,-0.000674507437346,300,0,0.829999814276,-0.000166926274343,0.829999987013,-1.49344132196e-06,-1.72736434934e-07,-0.000165432833021,70,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
28,0.056,1,-0.399999082088,0.000478257512441,0,120,3,0.00152436605228,0,0.00152436605228,0.00152436605228,200,0,-0.399999096867,0.000478257507625,-0.399999987339,6.34549779491e-06,8.90471041737e-07,0.00047191200983,120,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
