cycle,t,joint_id,motor_q,motor_dq,motor_tau,motor_kp,motor_kd,tau_controller,tau_disturbance,tau_before_limit,tau_sent,tau_limit,saturation_flag,q_ref_shaped,dq_ref_shaped,q_actual,dq_actual,q_error_shaped,dq_error_shaped,kp_cmd,kd_cmd,tau_cmd,debug_9,debug_10,debug_11,debug_12,debug_13,debug_14,debug_15,debug_16,debug_17,debug_18,debug_19,debug_20,debug_21,debug_22,debug_23,debug_24,debug_25,debug_26,debug_27,debug_28,debug_29,debug_30,debug_31,debug_32,flags,joint_flags
29,0.058,2,0.670001745224,0.00067084323382,0,70,4,0.00271983118743,0,0.00271983118743,0.00271983118743,300,0,0.670001764519,0.000670843232567,0.670000057955,2.04126363555e-05,1.70656319665e-06,0.000650430596211,70,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
30,0.06,1,-0.399995684624,0.00127971731126,0,120,3,0.00433855663,0,0.00433855663,0.00433855663,200,0,-0.399995688741,0.00127971729101,-0.399999992532,5.84810199174e-06,4.30379097821e-06,0.00127386918902,120,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
30,0.06,2,0.670003473759,0.00102377380244,0,70,4,0.00415189563011,0,0.00415189563011,0.00415189563011,300,0,0.670003449007,0.0010237738328,0.670000146026,4.40352188744e-05,3.30298122675e-06,0.000979738613925,70,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
31,0.062,1,-0.399992614985,0.0017919576494,0,120,3,0.0062242931493,0,0.0062242931493,0.0062242931493,200,0,-0.399992628099,0.00179195765355,-0.399999969763,1.13844153696e-05,7.34166456712e-06,0.00178057323818,120,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
31,0.062,2,0.670005917549,0.00143356609624,0,70,4,0.00580893575139,0,0.00580893575139,0.00580893575139,300,0,0.670005897521,0.00143356612283,0.670000305125,7.95495796849e-05,5.59239600306e-06,0.00135401654314,70,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
32,0.064,1,-0.399988472462,0.00236552604474,0,120,3,0.00841174350213,0,0.00841174350213,0.00841174350213,200,0,-0.399988480026,0.00236552606963,-0.399999929942,1.99107459035e-05,1.14499157379e-05,0.00234561532373,120,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
32,0.064,2,0.670009195805,0.00189242081251,0,70,4,0.00766021748997,0,0.00766021748997,0.00766021748997,300,0,0.670009215979,0.0018924208557,0.67000056204,0.000128457325516,8.65393948202e-06,0.00176396353018,70,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
33,0.066,1,-0.399983137846,0.00299071404152,0,120,3,0.0108829249544,0,0.0108829249544,0.0108829249544,200,0,-0.399983131582,0.00299071402681,-0.399999865578,3.21816853818e-05,1.67339961094e-05,0.00295853234143,120,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
33,0.066,2,0.670013487339,0.00239257118665,0,70,4,0.00968048802248,0,0.00968048802248,0.00968048802248,300,0,0.670013494734,0.00239257122144,0.670000945889,0.000191924559365,1.25488453572e-05,0.00220064666207,70,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
34,0.068,1,-0.399976491928,0.00365785346366,0,120,3,0.0136197714671,0,0.0136197714671,0.0136197714671,200,0,-0.399976489203,0.00365785355889,-0.399999767661,4.89589373325e-05,2.32784574152e-05,0.00360889462155,120,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
