case,joint,joint_id,delay_steps,delay_s,eig_index,eig_real,eig_imag,eig_abs,eig_angle_rad
D,Hip,1,1,0.002,2,0.7392676056374962,0.0,0.7392676056374962,0.0
D,Hip,1,1,0.002,3,0.14892185810307168,0.35749984322130307,0.3872774944715064,1.1760919902011548
D,Hip,1,1,0.002,4,0.14892185810307168,-0.35749984322130307,0.3872774944715064,-1.1760919902011548
D,Hip,1,1,0.002,5,0.19774805323100622,0.0,0.19774805323100622,0.0
D,Hip,1,1,0.002,6,-0.004543838539059622,0.0,0.004543838539059622,3.141592653589793
D,Hip,1,1,0.002,7,-1.894620021509527e-15,0.0,1.894620021509527e-15,3.141592653589793
D,Hip,1,2,0.004,0,0.9811526823264096,0.03468749028347394,0.9817656584024901,0.0353390964133717
D,Hip,1,2,0.004,1,0.9811526823264096,-0.03468749028347394,0.9817656584024901,-0.0353390964133717
D,Hip,1,2,0.004,2,0.7566883907747717,0.0,0.7566883907747717,0.0
D,Hip,1,2,0.004,3,0.14860993442080805,0.3604888894331276,0.3899194173329748,1.179778231161673
D,Hip,1,2,0.004,4,0.14860993442080805,-0.3604888894331276,0.3899194173329748,-1.179778231161673
D,Hip,1,2,0.004,5,0.1645097297251732,0.0,0.1645097297251732,0.0
D,Hip,1,2,0.004,6,0.005693744258623699,0.07230891477666974,0.07253273660811578,1.4922165246644243
D,Hip,1,2,0.004,7,0.005693744258623699,-0.07230891477666974,0.07253273660811578,-1.4922165246644243
D,Hip,1,2,0.004,8,-8.968176274482985e-08,0.0,8.968176274482985e-08,3.141592653589793
D,Hip,1,2,0.004,9,8.96816668549188e-08,0.0,8.96816668549188e-08,0.0
D,Hip,1,5,0.01,0,0.9824890803143231,0.0377921482425035,0.9832156627137649,0.038446763731982116
D,Hip,1,5,0.01,1,0.9824890803143231,-0.0377921482425035,0.9832156627137649,-0.038446763731982116
D,Hip,1,5,0.01,2,0.8182010532277835,0.0,0.8182010532277835,0.0
D,Hip,1,5,0.01,3,0.32564596571278503,0.36109908736392315,0.48624874897532694,0.8369772407743064
D,Hip,1,5,0.01,4,0.32564596571278503,-0.36109908736392315,0.48624874897532694,-0.8369772407743064
D,Hip,1,5,0.01,5,-0.3337310003639448,0.0,0.3337310003639448,3.141592653589793
D,Hip,1,5,0.01,6,-0.13280426943511825,0.3280950685180387,0.3539538783034479,1.9554112146356664
D,Hip,1,5,0.01,7,-0.13280426943511825,-0.3280950685180387,0.3539538783034479,-1.9554112146356664
