family,method,scan,group,ko_scale,ku_scale,repeat,condition,manifest_log_path,log_path,returncode,status,window,duration_s,rows_total,flags_seen,coord_rmse_rad,coord_peak_abs_rad,window_complete,hip_rmse_rad,hip_peak_abs_err_rad,hip_dq_rmse_rad_s,hip_tau_est_rms_nm,hip_tau_est_diff_rms_nm_per_sample,hip_tau_cmd_rms_nm,hip_tau_cmd_peak_abs_nm,hip_eta_u_rms_nm,hip_tau_dist_rms_nm,hip_tau_dist_peak_abs_nm,knee_rmse_rad,knee_peak_abs_err_rad,knee_dq_rmse_rad_s,knee_tau_est_rms_nm,knee_tau_est_diff_rms_nm_per_sample,knee_tau_cmd_rms_nm,knee_tau_cmd_peak_abs_nm,knee_eta_u_rms_nm,knee_tau_dist_rms_nm,knee_tau_dist_peak_abs_nm
P4D,eid,ko,o4,1.0,1.0,r02,P4D_EID_Ko_o4_anti_phase_hip_knee_software_disturbance,data/20260623_191923/h1_real_p4_ko_o4_hip_knee_eid_log.csv,data/20260623_191923/h1_real_p4_ko_o4_hip_knee_eid_log.csv,0,ok,pre,9.999577283000008,9774,4,0.029023910081386113,0.0523827142227733,True,0.010534517141889025,0.019436741548253922,0.11132003765191179,3.1432092430177647,0.5386689531468711,3.184098310255779,6.570702075958252,0.008509450267051773,0.0,0.0,0.019483650826659028,0.03457329327007974,0.21731785976732454,2.8866289704007118,0.7905808525955714,2.930677848585476,5.318591117858888,0.019634712671477678,0.0,0.0
P4D,eid,ko,o4,1.0,1.0,r02,P4D_EID_Ko_o4_anti_phase_hip_knee_software_disturbance,data/20260623_191923/h1_real_p4_ko_o4_hip_knee_eid_log.csv,data/20260623_191923/h1_real_p4_ko_o4_hip_knee_eid_log.csv,0,ok,disturbance,9.999577283000008,9774,4,0.09782866981951091,0.14417718714489514,True,0.04956643276612823,0.07625190320923536,0.1907533708685737,2.5247423622005125,0.45058618125614563,2.5608159551204115,6.222990989685059,0.018668648144023216,5.437049629005294,6.0,0.04944412888841382,0.07181141916079159,0.3061746346822652,2.765023258206168,0.7965782164158323,2.822729878249266,5.380887031555176,0.04676857130956487,3.624699752670196,4.0
P4D,eid,ko,o4,1.0,1.0,r02,P4D_EID_Ko_o4_anti_phase_hip_knee_software_disturbance,data/20260623_191923/h1_real_p4_ko_o4_hip_knee_eid_log.csv,data/20260623_191923/h1_real_p4_ko_o4_hip_knee_eid_log.csv,0,ok,plateau,9.999577283000008,9774,4,0.10859115771199869,0.14417718714489514,True,0.05479002862579488,0.07625190320923536,0.1553412211202307,2.821700260055624,0.44286685824980515,2.874814521874208,6.222990989685059,0.01789929450583343,6.0,6.0,0.05514893586714256,0.07181141916079159,0.24327176631686928,3.0432108721331597,0.7544744289146167,3.0798808707667553,5.097455024719238,0.049342953305224715,4.0,4.0
P4D,eid,ko,o4,1.0,1.0,r02,P4D_EID_Ko_o4_anti_phase_hip_knee_software_disturbance,data/20260623_191923/h1_real_p4_ko_o4_hip_knee_eid_log.csv,data/20260623_191923/h1_real_p4_ko_o4_hip_knee_eid_log.csv,0,ok,post,9.999577283000008,9774,4,0.024909990535476864,0.05207724507087619,True,0.009007482918486593,0.019878016067184756,0.1219131142616476,3.1719942016024434,0.5493927167600253,3.208843638367952,6.717618942260742,0.009755328721443596,0.0,0.0,0.016905729015336282,0.03374335214963675,0.23865895704442422,2.763075440441421,0.8094074975297167,2.8200509839286068,5.263193607330321,0.019246882365743838,0.0,0.0
P4D,eid,ko,o4,1.0,1.0,r03,P4D_EID_Ko_o4_anti_phase_hip_knee_software_disturbance,data/20260623_191939/h1_real_p4_ko_o4_hip_knee_eid_log.csv,data/20260623_191939/h1_real_p4_ko_o4_hip_knee_eid_log.csv,0,ok,steady,9.998438889999989,9790,4,0.04980885286337713,0.14324762777610545,True,0.023692603071872712,0.07594334715140055,0.13203867011912004,2.9595879514450347,0.517049838328374,2.9990334147211812,6.836243629455566,0.011797290367667225,2.431549863046352,6.0,0.027368181954687713,0.07169452435599133,0.2524373509864696,2.779533065142233,0.7920965080740451,2.8251057045753885,5.435209274291992,0.027431415375444364,1.6210332420309015,4.0
P4D,eid,ko,o4,1.0,1.0,r03,P4D_EID_Ko_o4_anti_phase_hip_knee_software_disturbance,data/20260623_191939/h1_real_p4_ko_o4_hip_knee_eid_log.csv,data/20260623_191939/h1_real_p4_ko_o4_hip_knee_eid_log.csv,0,ok,pre,9.998438889999989,9790,4,0.027794954519840924,0.04962798612803043,True,0.00954280041849807,0.01820204179100038,0.10816682641817485,3.1266521401535514,0.5248916294801819,3.1533010539273834,6.527120113372803,0.00861067511988386,0.0,0.0,0.0190972728607309,0.032849531067350335,0.22577439498558413,2.880417150085053,0.8009890855334654,2.9255595707688253,5.397382736206056,0.019895293702734716,0.0,0.0
P4D,eid,ko,o4,1.0,1.0,r03,P4D_EID_Ko_o4_anti_phase_hip_knee_software_disturbance,data/20260623_191939/h1_real_p4_ko_o4_hip_knee_eid_log.csv,data/20260623_191939/h1_real_p4_ko_o4_hip_knee_eid_log.csv,0,ok,disturbance,9.998438889999989,9790,4,0.09807662804242259,0.14324762777610545,True,0.04952548378536032,0.07594334715140055,0.19435491411043926,2.574932062015955,0.4668749817397331,2.6043604881562734,6.489171028137207,0.019090368889592313,5.441083829033598,6.0,0.04957984098362205,0.07169452435599133,0.31308450653838593,2.771670002951859,0.7828497530281604,2.830493974998659,5.3056488037109375,0.046924431883326054,3.627389219355732,4.0
P4D,eid,ko,o4,1.0,1.0,r03,P4D_EID_Ko_o4_anti_phase_hip_knee_software_disturbance,data/20260623_191939/h1_real_p4_ko_o4_hip_knee_eid_log.csv,data/20260623_191939/h1_real_p4_ko_o4_hip_knee_eid_log.csv,0,ok,plateau,9.998438889999989,9790,4,0.10888014712514636,0.14324762777610545,True,0.05490355393004081,0.07594334715140055,0.15634874572157217,2.8939271691965534,0.4519234744513875,2.9308116642299704,6.489171028137207,0.018431142244181156,6.0,6.0,0.0551509539051174,0.07169452435599133,0.2553554168650108,3.0562069514074612,0.7499279550437812,3.0953737189747947,5.3056488037109375,0.04957282257511102,4.0,4.0
P4D,eid,ko,o4,1.0,1.0,r03,P4D_EID_Ko_o4_anti_phase_hip_knee_software_disturbance,data/20260623_191939/h1_real_p4_ko_o4_hip_knee_eid_log.csv,data/20260623_191939/h1_real_p4_ko_o4_hip_knee_eid_log.csv,0,ok,post,9.998438889999989,9790,4,0.024876522921073403,0.05094476989389474,True,0.009037634569441753,0.019784900206010758,0.11724832265464896,3.124564494100518,0.5458641237812927,3.1791418143444665,6.836243629455566,0.00925851146206489,0.0,0.0,0.01688945202313267,0.03431730665978161,0.23902751393873198,2.79468309598726,0.8118656088732701,2.82469730438066,5.435209274291992,0.019507607826892818,0.0,0.0
P4D,eid,ko,o5,1.25,1.0,r01,P4D_EID_Ko_o5_anti_phase_hip_knee_software_disturbance,data/20260623_191954/h1_real_p4_ko_o5_hip_knee_eid_log.csv,data/20260623_191954/h1_real_p4_ko_o5_hip_knee_eid_log.csv,0,ok,steady,9.997956124999746,9760,4,0.04919622465216873,0.1412295303023805,True,0.023738714539585766,0.0759504729826988,0.14340931812679827,2.996697616440141,0.521913982275217,3.0325622515307122,6.941716194152832,0.015170140298569794,2.431730500070984,6.0,0.026822155392698437,0.06990902252354425,0.25881619091389857,2.8193409514150574,0.7999416245050435,2.8634294089926766,5.369629859924316,0.027730255832364634,1.6211536667139894,4.0
