case,window,signal,unit,samples,fs_hz,peak_freq_hz_0p5_100,peak_psd,psd_at_0p8_hz,psd_at_5_hz,psd_at_20_hz,bandpower_0p5_3hz,bandpower_3_15hz,bandpower_15_80hz
C,post_startup,e_coord,rad,2500,500.0000000000551,0.9765625000001076,0.00024255042730477497,0.00024255042730477497,6.33943700525316e-07,1.338604636147889e-08,0.00018596653392333336,1.8995133163319467e-06,4.996818622116323e-08
C,post_startup,tau_total_hip,N m,2500,500.0000000000551,0.9765625000001076,1.4689466375159148,1.4689466375159148,0.006533133140836568,0.09338996940377514,1.1116592566916252,0.02087934228553649,0.41782188845237006
C,post_startup,tau_total_knee,N m,2500,500.0000000000551,0.9765625000001076,0.5574476435213728,0.5574476435213728,0.0023736977904757115,0.07124073487140009,0.40500059475724604,0.006305661054289788,0.2516546592154958
C,post_startup,delta_tau_total_hip,N m/sample,2500,500.0000000000551,20.50781250000226,0.008224677280310315,0.00016837472892771685,2.0359502609761772e-05,0.005468469644683109,0.00025602172904965874,0.000132717556696979,0.029710205940057424
C,post_startup,delta_tau_total_knee,N m/sample,2500,500.0000000000551,20.50781250000226,0.005290531803506951,6.106528851724987e-05,7.776491960042588e-06,0.0041633649895144766,6.231990934063e-05,2.61146710822288e-05,0.017516903680811192
C,post_startup,eta_q_hip,rad,2500,500.0000000000551,0.9765625000001076,5.80239837744303e-10,5.80239837744303e-10,1.748271415492643e-11,2.3823715382383534e-10,4.842292396028418e-10,4.7305399852141036e-11,8.7219798627586e-10
C,post_startup,eta_q_knee,rad,2500,500.0000000000551,0.9765625000001076,5.556120902771955e-09,5.556120902771955e-09,7.00463675787879e-11,4.09208181286924e-10,4.446739107012335e-09,1.9786356108500236e-10,1.4746388957319842e-09
C,post_startup,eta_dq_hip,rad/s,2500,500.0000000000551,0.9765625000001076,4.029164287679892e-06,4.029164287679892e-06,1.2138298737854543e-07,1.6447046056452525e-06,3.364906202956139e-06,3.285336587408625e-07,6.02168212769793e-06
C,post_startup,eta_dq_knee,rad/s,2500,500.0000000000551,0.9765625000001076,2.36512498596273e-05,2.36512498596273e-05,2.9845343670731994e-07,1.7923485274340304e-06,1.8958051957551638e-05,8.449601265140978e-07,6.484392174293526e-06
C,post_startup,eta_u_hip,N m,2500,500.0000000000551,0.9765625000001076,1.3182885231158325e-06,1.3182885231158325e-06,3.971449698673278e-08,5.382459415201246e-07,1.1008503718946832e-06,1.0748548148272181e-07,1.970522793645524e-06
