case,window,pair,input_signal,output_signal,samples,fs_hz,peak_coherence_freq_hz_0p5_80,peak_coherence,cross_spectrum_mag_at_peak,cross_spectrum_phase_rad_at_peak,coherence_at_0p8_hz,coherence_at_5_hz,coherence_at_20_hz
B,post_startup,tau_dist_hip_to_e_hip,tau_dist_h,e_h,2500,500.0000000000551,5.859375000000646,0.8144057146864819,1.5248290248433962e-05,1.5680441889960481,0.553403887836891,0.8144057146864819,0.015906570978330908
B,post_startup,tau_dist_knee_to_e_knee,tau_dist_k,e_k,2500,500.0000000000551,1.9531250000002152,0.8953326478737689,0.0007626768978382775,2.919035865289305,0.8731442462189745,0.8639737518610752,0.004478387167325968
B,post_startup,tau_dist_coord_to_e_coord,tau_dist_coord,e_coord,2500,500.0000000000551,5.859375000000646,0.891341187862723,5.643819066336007e-05,1.8351586423403323,0.7301525762466082,0.891341187862723,0.006315508193012359
B,post_startup,eta_u_hip_to_tau_total_hip,eta_u_h,tau_total_h,2500,500.0000000000551,19.531250000002153,0.986809332560896,0.00024865522729773085,0.7242224941063259,0.13669093686917536,0.8313451850004412,0.986809332560896
B,post_startup,eta_u_knee_to_tau_total_knee,eta_u_k,tau_total_k,2500,500.0000000000551,19.531250000002153,0.9851815683313808,0.00024106022843873627,1.4912557033821876,0.0830840164587342,0.6723366386142868,0.9851815683313808
B,disturbance,tau_dist_hip_to_e_hip,tau_dist_h,e_h,700,500.0000000000551,50.78125000000559,0.9512123746902327,8.003831756188334e-12,1.8718877827898432,0.6927383631241711,0.8067768858194782,0.5749183713858802
B,disturbance,tau_dist_knee_to_e_knee,tau_dist_k,e_k,700,500.0000000000551,5.859375000000646,0.981255958953984,2.2422577882363774e-05,2.013489601161161,0.9668222515615413,0.981255958953984,0.5618897828111082
B,disturbance,tau_dist_coord_to_e_coord,tau_dist_coord,e_coord,700,500.0000000000551,5.859375000000646,0.9777920632459061,7.936193632163135e-05,1.9332323463913277,0.884722770574543,0.9777920632459061,0.5589286524848378
B,disturbance,eta_u_hip_to_tau_total_hip,eta_u_h,tau_total_h,700,500.0000000000551,21.484375000002366,0.9870374303551719,0.0001792287119553311,0.7686022943405154,0.17021450177631509,0.7197230327092488,0.985661111822914
B,disturbance,eta_u_knee_to_tau_total_knee,eta_u_k,tau_total_k,700,500.0000000000551,21.484375000002366,0.9871868869043694,0.00017148966027099777,1.5081475952406014,0.002222300947223074,0.9495520018259388,0.984243944019558
C,full,tau_dist_hip_to_e_hip,tau_dist_h,e_h,4000,500.0000000000551,1.9531250000002152,0.5971456777467368,0.0010371300310420043,2.626049266244217,0.10525828876041793,0.36044557110091857,0.030953060431583898
C,full,tau_dist_knee_to_e_knee,tau_dist_k,e_k,4000,500.0000000000551,1.9531250000002152,0.8984713028826565,0.0005229018006664253,2.8994130540653535,0.5271664752656493,0.6876387402230432,0.015838663067490124
C,full,tau_dist_coord_to_e_coord,tau_dist_coord,e_coord,4000,500.0000000000551,3.9062500000004303,0.8419270176711714,0.0006496096356238365,2.385228886872546,0.22554556596296557,0.6212085389493365,0.020358063217379686
C,full,eta_u_hip_to_tau_total_hip,eta_u_h,tau_total_h,4000,500.0000000000551,21.484375000002366,0.9775658988137569,0.000132325836951253,0.9481836445973653,0.2080565244181797,0.6633989318170643,0.9756124433415189
C,full,eta_u_knee_to_tau_total_knee,eta_u_k,tau_total_k,4000,500.0000000000551,19.531250000002153,0.9812187065678787,0.0001560452496653569,1.6577804091148687,0.04474493111613349,0.5633399938878905,0.9812187065678787
C,post_startup,tau_dist_hip_to_e_hip,tau_dist_h,e_h,2500,500.0000000000551,5.859375000000646,0.8251501047404474,1.575606221358402e-05,1.5766924477518354,0.5672438523301033,0.8251501047404474,0.015759657191050283
C,post_startup,tau_dist_knee_to_e_knee,tau_dist_k,e_k,2500,500.0000000000551,1.9531250000002152,0.9017096734697747,0.0008045533310874163,2.9130251283171704,0.8750725355553417,0.8683103120705323,0.004579886249815476
C,post_startup,tau_dist_coord_to_e_coord,tau_dist_coord,e_coord,2500,500.0000000000551,5.859375000000646,0.8943871105252611,5.950091375499552e-05,1.8430849253804404,0.7404585585997098,0.8943871105252611,0.006518772493364059
C,post_startup,eta_u_hip_to_tau_total_hip,eta_u_h,tau_total_h,2500,500.0000000000551,19.531250000002153,0.9868859585493763,0.00022228035072343371,0.8650026479580226,0.12393942169264084,0.8343085416607048,0.9868859585493763
C,post_startup,eta_u_knee_to_tau_total_knee,eta_u_k,tau_total_k,2500,500.0000000000551,19.531250000002153,0.9848417717208957,0.00019873953165585492,1.660272345546177,0.08204998002100758,0.7123667203658837,0.9848417717208957
C,disturbance,tau_dist_hip_to_e_hip,tau_dist_h,e_h,700,500.0000000000551,50.78125000000559,0.9521747163736228,7.72972395523967e-12,1.8713687181297765,0.711163059937758,0.8267417386222458,0.5735170442630335
C,disturbance,tau_dist_knee_to_e_knee,tau_dist_k,e_k,700,500.0000000000551,5.859375000000646,0.9838037136250127,2.3743348432731513e-05,2.010538361982568,0.9700421346688558,0.9838037136250127,0.5592149574728187
C,disturbance,tau_dist_coord_to_e_coord,tau_dist_coord,e_coord,700,500.0000000000551,5.859375000000646,0.9782671100584587,8.405015814247929e-05,1.9285283189910254,0.8951076247318083,0.9782671100584587,0.5573101948468318
C,disturbance,eta_u_hip_to_tau_total_hip,eta_u_h,tau_total_h,700,500.0000000000551,19.531250000002153,0.9863500967814846,0.00023311602554048575,0.8481955886163154,0.14988456344885717,0.7486923223775938,0.9863500967814846
C,disturbance,eta_u_knee_to_tau_total_knee,eta_u_k,tau_total_k,700,500.0000000000551,21.484375000002366,0.9874731759400054,0.00014071875217947394,1.6760365988176176,0.0023150233856667553,0.9499503597896469,0.9843748000886644
D,full,tau_dist_hip_to_e_hip,tau_dist_h,e_h,4000,500.0000000000551,1.9531250000002152,0.5903870201319301,0.0010261522715325616,2.6234315817671434,0.10303752848099709,0.35631046678017125,0.031077212537250695
D,full,tau_dist_knee_to_e_knee,tau_dist_k,e_k,4000,500.0000000000551,1.9531250000002152,0.898556927625314,0.0005234799757646191,2.898196647946931,0.524340784514646,0.6866495312595913,0.01592377353756969
D,full,tau_dist_coord_to_e_coord,tau_dist_coord,e_coord,4000,500.0000000000551,3.9062500000004303,0.8387602321387788,0.000645969117126256,2.383845013983041,0.22353219563181415,0.6186849167092526,0.020462058705838646
D,full,eta_u_hip_to_tau_total_hip,eta_u_h,tau_total_h,4000,500.0000000000551,21.484375000002366,0.9779402788552438,0.00014810994653364514,0.8128660393279878,0.20540129930254022,0.6544958891571135,0.9757405093091608
D,full,eta_u_knee_to_tau_total_knee,eta_u_k,tau_total_k,4000,500.0000000000551,19.531250000002153,0.9811219861523043,0.00015609506461664258,1.6564685243054762,0.043671816579385625,0.5595403151028888,0.9811219861523043
D,post_startup,tau_dist_hip_to_e_hip,tau_dist_h,e_h,2500,500.0000000000551,5.859375000000646,0.8248530855669279,1.5485844608946545e-05,1.5856894985389942,0.5582532448862366,0.8248530855669279,0.015842454933029555
D,post_startup,tau_dist_knee_to_e_knee,tau_dist_k,e_k,2500,500.0000000000551,1.9531250000002152,0.9006014587013349,0.0008056680681026608,2.912540300702455,0.8766617703092127,0.8677376648199002,0.004543460907281108
D,post_startup,tau_dist_coord_to_e_coord,tau_dist_coord,e_coord,2500,500.0000000000551,5.859375000000646,0.8946985906483804,5.875028034822073e-05,1.8449657493085325,0.73700702623154,0.8946985906483804,0.006489551982985526
D,post_startup,eta_u_hip_to_tau_total_hip,eta_u_h,tau_total_h,2500,500.0000000000551,19.531250000002153,0.9870276424420537,0.00024718271276466015,0.7300255338434379,0.13739616233198887,0.8270163231376264,0.9870276424420537
D,post_startup,eta_u_knee_to_tau_total_knee,eta_u_k,tau_total_k,2500,500.0000000000551,19.531250000002153,0.9847392682109464,0.0001988298047508523,1.6590733264507684,0.08480232169186094,0.7079673648400827,0.9847392682109464
D,disturbance,tau_dist_hip_to_e_hip,tau_dist_h,e_h,700,500.0000000000551,50.78125000000559,0.9503982044840196,7.755177020139052e-12,1.8986795663844254,0.7011737568656896,0.8230508668398594,0.5753444555412834
D,disturbance,tau_dist_knee_to_e_knee,tau_dist_k,e_k,700,500.0000000000551,5.859375000000646,0.9828957950731302,2.3520355693000764e-05,2.010013361840006,0.9716238681734857,0.9828957950731302,0.5588450193381977
D,disturbance,tau_dist_coord_to_e_coord,tau_dist_coord,e_coord,700,500.0000000000551,5.859375000000646,0.9787678969292452,8.316043313590919e-05,1.934972446866697,0.891551587056744,0.9787678969292452,0.5573535646993204
D,disturbance,eta_u_hip_to_tau_total_hip,eta_u_h,tau_total_h,700,500.0000000000551,21.484375000002366,0.9866977111026531,0.00017805867966178915,0.7735475527085214,0.17011046097076704,0.7284974156699584,0.9862680583009052
D,disturbance,eta_u_knee_to_tau_total_knee,eta_u_k,tau_total_k,700,500.0000000000551,21.484375000002366,0.9874673405504951,0.00014076686804795,1.674751302066408,0.003247726308375581,0.9513125884239895,0.9841742896104454
