cycle,t,q_h,q_k,dq_h,dq_k,tau_est_k,tau_cmd_k,u_feedback_k,xbar_q_k,eta_u_k,tau_sw_k,disturbance_scale,t_rel,qdd_h,qdd_k,tau_full,tau_loc,d_model,d_g,d_hacc,d_kacc,d_vel,d_recon,d_recon_err,d_in,eid_comp_k,method,repeat,condition_id,log_path,config_path
3013,1121.7168908190001,-0.462260365486145,0.6933987140655518,-0.771286129951477,0.8401029706001282,3.28125,3.095367193222046,2.569572175186361,0.6938717937020938,-0.03407347354713239,0.0,0.0,6.164942783000015,4.976715718280061,-4.9506938991164615,1.9315243685929788,0.6383638271041518,1.293160541488827,-0.283433702841811,1.510709769950629,1.602332933003936e-09,0.06588447277767617,1.293160541488827,0.0,1.293160541488827,0.03407347354713239,eid,r02,P2D_EID_anti_phase_hip_knee_software_disturbance,data\20260623_191422\h1_real_p2_anti_hip_knee_eid_log.csv,config\h1_real_p2_anti_hip_knee_eid.yaml
3014,1121.718919912,-0.46384549140930176,0.694948673248291,-0.7753002047538757,0.8345372080802917,3.75,3.0250084400177,2.602506414284276,0.6953695681350852,-0.028061480011749473,0.0,0.0,6.166971875999934,5.235690808001208,-4.714885751983385,2.0633286218126523,0.6987943965726513,1.364534225240001,-0.2906040257803719,1.588423370881313,1.5260117613991042e-09,0.06671487861304826,1.364534225240001,0.0,1.364534225240001,0.028061480011749473,eid,r02,P2D_EID_anti_phase_hip_knee_software_disturbance,data\20260623_191422\h1_real_p2_anti_hip_knee_eid_log.csv,config\h1_real_p2_anti_hip_knee_eid.yaml
3015,1121.720958351,-0.4649192690849304,0.6961790323257446,-0.7627577185630798,0.8201413154602051,2.53125,2.960625171661377,2.6155090008049187,0.6969128278753369,-0.025276691080193908,0.0,0.0,6.169010314999923,5.442844497131434,-4.562482427194043,2.147844821212029,0.7280841575630757,1.4197606636489535,-0.2954492829260176,1.6505265373699198,1.4766836642365888e-09,0.06468340772836711,1.419760663648953,-4.440892098500626e-16,1.4197606636489535,0.025276691080193908,eid,r02,P2D_EID_anti_phase_hip_knee_software_disturbance,data\20260623_191422\h1_real_p2_anti_hip_knee_eid_log.csv,config\h1_real_p2_anti_hip_knee_eid.yaml
3016,1121.7229790650001,-0.4658396244049072,0.6980326175689697,-0.74184650182724,0.8273817896842957,4.40625,2.946399688720703,2.6498866907183487,0.6982280863596039,-0.027691469545938763,0.0,0.0,6.171031029000005,5.552823887746461,-4.430573342821965,2.221218001369638,0.7766981624111344,1.4445198389585037,-0.299553315497771,1.6827316869340487,1.433991148047653e-09,0.061341466088234764,1.4445198389585037,0.0,1.4445198389585037,0.027691469545938763,eid,r02,P2D_EID_anti_phase_hip_knee_software_disturbance,data\20260623_191422\h1_real_p2_anti_hip_knee_eid_log.csv,config\h1_real_p2_anti_hip_knee_eid.yaml
3017,1121.7250009890001,-0.4666833281517029,0.700573205947876,-0.7179362177848816,0.807895302772522,2.71875,2.8848843574523926,2.6240201080590273,0.6998526262167747,-0.020182993418297206,0.0,0.0,6.173052953000024,5.617943872810994,-4.314941974908855,2.2528736902869904,0.797612142525699,1.4552615477612914,-0.30326154616662415,1.7008720418298946,1.396565751932144e-09,0.05765105070145493,1.4552615477612911,-2.220446049250313e-16,1.4552615477612914,0.020182993418297206,eid,r02,P2D_EID_anti_phase_hip_knee_software_disturbance,data\20260623_191422\h1_real_p2_anti_hip_knee_eid_log.csv,config\h1_real_p2_anti_hip_knee_eid.yaml
3018,1121.7270206370001,-0.4676803946495056,0.7023309469223022,-0.6997115015983582,0.8144888877868652,3.75,2.7713942527770996,2.5226609112964917,0.702129918832602,-0.013229305903254199,0.0,0.0,6.175072601000011,5.732414439518583,-4.250872311185948,2.3097452351513925,0.8281680755403487,1.4815771596110439,-0.307715811554363,1.7344004500973194,1.3758294503674051e-09,0.05489251969225828,1.481577159611044,2.220446049250313e-16,1.4815771596110439,0.013229305903254199,eid,r02,P2D_EID_anti_phase_hip_knee_software_disturbance,data\20260623_191422\h1_real_p2_anti_hip_knee_eid_log.csv,config\h1_real_p2_anti_hip_knee_eid.yaml
3019,1121.729047191,-0.4687798023223877,0.7036411762237549,-0.6854928135871887,0.8059014678001404,2.34375,2.7078166007995605,2.4410482112974647,0.7041303263805077,-0.013368070929276193,0.0,0.0,6.177099154999951,5.892577837962446,-4.2184241759491465,2.355717609792406,0.8336104479181381,1.522107161874268,-0.3126640271655574,1.7819931280853338,1.3653280728220807e-09,0.05277805958916337,1.5221071618742679,-2.220446049250313e-16,1.522107161874268,0.013368070929276193,eid,r02,P2D_EID_anti_phase_hip_knee_software_disturbance,data\20260623_191422\h1_real_p2_anti_hip_knee_eid_log.csv,config\h1_real_p2_anti_hip_knee_eid.yaml
3020,1121.731064511,-0.4702115058898926,0.7047756910324097,-0.6751464009284973,0.7909128665924072,2.90625,2.732215166091919,2.419090230503884,0.705603751452595,-0.01888214888143042,0.0,0.0,6.179116475000001,5.979275895222663,-4.315677667388355,2.338994912465946,0.7994125000292456,1.5395824124367004,-0.31914244249036217,1.8074492617033298,1.396805338060858e-09,0.05127559182692698,1.5395824124367,-4.440892098500626e-16,1.5395824124367004,0.01888214888143042,eid,r02,P2D_EID_anti_phase_hip_knee_software_disturbance,data\20260623_191422\h1_real_p2_anti_hip_knee_eid_log.csv,config\h1_real_p2_anti_hip_knee_eid.yaml
3021,1121.733111434,-0.47151535749435425,0.7063256502151489,-0.6554504632949829,0.791158139705658,2.53125,2.822082757949829,2.4394221653114485,0.7067524035983932,-0.023435699961799256,0.0,0.0,6.181163397999853,5.990014710470703,-4.421807402820995,2.313172094617463,0.7801000954116646,1.5330719992057984,-0.32500673779020706,1.80964996663924,1.431154084130526e-09,0.0484287689256111,1.5330719992057982,-2.220446049250313e-16,1.5330719992057984,0.023435699961799256,eid,r02,P2D_EID_anti_phase_hip_knee_software_disturbance,data\20260623_191422\h1_real_p2_anti_hip_knee_eid_log.csv,config\h1_real_p2_anti_hip_knee_eid.yaml
3022,1121.735129274,-0.4725380539894104,0.7077637910842896,-0.6343305706977844,0.7836024165153503,3.46875,2.8867437839508057,2.4210916741528465,0.7081094891984532,-0.01910328386811303,0.0,0.0,6.183181237999861,5.979215873768521,-4.615729140167511,2.2517926838471167,0.7305189988647542,1.5212736849823625,-0.3295895716759769,1.8054172540159064,1.4939174342032402e-09,0.0454460011485156,1.5212736849823625,0.0,1.5212736849823625,0.01910328386811303,eid,r02,P2D_EID_anti_phase_hip_knee_software_disturbance,data\20260623_191422\h1_real_p2_anti_hip_knee_eid_log.csv,config\h1_real_p2_anti_hip_knee_eid.yaml
3023,1121.7371665140001,-0.4733816981315613,0.7088024020195007,-0.6203539967536926,0.7676743865013123,2.625,2.9678947925567627,2.391912569396981,0.709541530584827,-0.01777970521903179,0.0,0.0,6.185218478000024,5.825475518065373,-4.823562112640234,2.135742139689011,0.6672830308858533,1.4684591088031578,-0.33337862920038797,1.758311697627128,1.5611862913544883e-09,0.04352603881523143,1.4684591088031578,0.0,1.4684591088031578,0.01777970521903179,eid,r02,P2D_EID_anti_phase_hip_knee_software_disturbance,data\20260623_191422\h1_real_p2_anti_hip_knee_eid_log.csv,config\h1_real_p2_anti_hip_knee_eid.yaml
3024,1121.739319733,-0.4742765426635742,0.7100807428359985,-0.6083856225013733,0.7579070925712585,1.875,3.132082223892212,2.407813765963811,0.7107070256216377,-0.022335621910961865,0.0,0.0,6.1873716969998895,5.593638206008504,-5.055724477800742,1.9972776704332305,0.6052006937187868,1.3920769767144436,-0.33738399033557487,1.6875264696445487,1.6363270738395386e-09,0.041934495769142544,1.3920769767144434,-2.220446049250313e-16,1.3920769767144436,0.022335621910961865,eid,r02,P2D_EID_anti_phase_hip_knee_software_disturbance,data\20260623_191422\h1_real_p2_anti_hip_knee_eid_log.csv,config\h1_real_p2_anti_hip_knee_eid.yaml
3025,1121.741473081,-0.47683316469192505,0.7116626501083374,-0.59991455078125,0.7544650435447693,2.53125,3.3158397674560547,2.4212159920739356,0.7118983977142815,-0.022449735923920747,0.0,0.0,6.189525044999982,5.289741845118803,-5.367553419374893,1.8176682253655048,0.530880440451925,1.2867877849135798,-0.34896920629169825,1.5948959197551345,1.7372536742499278e-09,0.04086106971288972,1.2867877849135796,-2.220446049250313e-16,1.2867877849135798,0.022449735923920747,eid,r02,P2D_EID_anti_phase_hip_knee_software_disturbance,data\20260623_191422\h1_real_p2_anti_hip_knee_eid_log.csv,config\h1_real_p2_anti_hip_knee_eid.yaml
3026,1121.74355211,-0.4780859351158142,0.7127971649169922,-0.5997453331947327,0.7384319305419922,2.34375,3.4754271507263184,2.3949915527040138,0.7133502000009567,-0.0186846669742516,0.0,0.0,6.191604073999997,4.98135215129021,-5.573256848767736,1.6560524073361933,0.4684993591689264,1.187553048167267,-0.3546187625478472,1.5012720472104633,1.8038306404122295e-09,0.040899761700820214,1.187553048167267,0.0,1.187553048167267,0.0186846669742516,eid,r02,P2D_EID_anti_phase_hip_knee_software_disturbance,data\20260623_191422\h1_real_p2_anti_hip_knee_eid_log.csv,config\h1_real_p2_anti_hip_knee_eid.yaml
3027,1121.745722761,-0.4791085720062256,0.7138198018074036,-0.5989406704902649,0.7227616310119629,2.90625,3.675427198410034,2.406628935728447,0.7146195689194431,-0.022592438436870636,0.0,0.0,6.193774724999912,4.741280324631707,-5.7964639306621635,1.5115888328632927,0.40159758466809814,1.1099912481951946,-0.35922218198160705,1.4283678838043294,1.876073962847613e-09,0.04084554449639821,1.1099912481951946,0.0,1.1099912481951946,0.022592438436870636,eid,r02,P2D_EID_anti_phase_hip_knee_software_disturbance,data\20260623_191422\h1_real_p2_anti_hip_knee_eid_log.csv,config\h1_real_p2_anti_hip_knee_eid.yaml
3028,1121.7478596830001,-0.479824423789978,0.7152259349822998,-0.5955324172973633,0.7133955955505371,3.28125,3.87542724609375,2.4519952278356545,0.7156871013803303,-0.026921269683839223,0.0,0.0,6.195911647000003,4.471162496570051,-6.009278071841477,1.3696652816294717,0.3453242390264015,1.0243410426030701,-0.3623913951337703,1.346275109178526,1.9449497568047036e-09,0.04045732661336432,1.02434104260307,-2.220446049250313e-16,1.0243410426030701,0.026921269683839223,eid,r02,P2D_EID_anti_phase_hip_knee_software_disturbance,data\20260623_191422\h1_real_p2_anti_hip_knee_eid_log.csv,config\h1_real_p2_anti_hip_knee_eid.yaml
3029,1121.749889488,-0.48054027557373047,0.7164722681045532,-0.5870987772941589,0.7037158608436584,2.71875,4.075427055358887,2.473976368373676,0.716947190973642,-0.025396697062629238,0.0,0.0,6.197941451999895,4.1843413742481035,-6.1655848870972125,1.2352820805199052,0.3021514115867021,0.9331306689332031,-0.3655710727041044,1.2593173554124801,1.9955432861706868e-09,0.03938438422928403,0.9331306689332031,0.0,0.9331306689332031,0.025396697062629238,eid,r02,P2D_EID_anti_phase_hip_knee_software_disturbance,data\20260623_191422\h1_real_p2_anti_hip_knee_eid_log.csv,config\h1_real_p2_anti_hip_knee_eid.yaml
3030,1121.75192608,-0.4813072681427002,0.7182140350341797,-0.5757460594177246,0.6657403707504272,2.90625,4.275427341461182,2.503312347269465,0.7182209236675353,-0.02604485309957541,0.0,0.0,6.199978043999863,4.044884557379845,-6.235130958864067,1.140170908715452,0.2546116989704206,0.8855592097450313,-0.36894433943079497,1.2165405706702235,2.0180517257273323e-09,0.03796297648755109,0.8855592097450313,0.0,0.8855592097450313,0.02604485309957541,eid,r02,P2D_EID_anti_phase_hip_knee_software_disturbance,data\20260623_191422\h1_real_p2_anti_hip_knee_eid_log.csv,config\h1_real_p2_anti_hip_knee_eid.yaml
3031,1121.753963012,-0.48209983110427856,0.7195562124252319,-0.5589696168899536,0.6610877513885498,3.9375,4.075427055358887,2.5139411281064366,0.7198102505415829,-0.028016309578027015,0.0,0.0,6.202014975999873,4.0986113513941405,-6.248264337436741,1.1481583249842684,0.2527070972086076,0.8954512277756608,-0.37246362820195666,1.2320688935018,2.0223009933317826e-09,0.0358459604535164,0.8954512277756608,0.0,0.8954512277756608,0.028016309578027015,eid,r02,P2D_EID_anti_phase_hip_knee_software_disturbance,data\20260623_191422\h1_real_p2_anti_hip_knee_eid_log.csv,config\h1_real_p2_anti_hip_knee_eid.yaml
3032,1121.755992656,-0.48312246799468994,0.7206428050994873,-0.5472144484519958,0.6506842970848083,3.84375,3.87542724609375,2.5329915348157304,0.7212591029706016,-0.02963664723177115,0.0,0.0,6.204044619999877,4.229683699950714,-6.244141705613492,1.1765093086359055,0.24821780491015177,0.9282915037257538,-0.3770539920143918,1.2709424310610866,2.020967393434603e-09,0.03440306265809134,0.9282915037257535,-2.220446049250313e-16,0.9282915037257538,0.02963664723177115,eid,r02,P2D_EID_anti_phase_hip_knee_software_disturbance,data\20260623_191422\h1_real_p2_anti_hip_knee_eid_log.csv,config\h1_real_p2_anti_hip_knee_eid.yaml
3033,1121.758023161,-0.4843752384185791,0.7215056419372559,-0.5439357757568359,0.6303505301475525,2.90625,3.675427198410034,2.5787854411429367,0.7224195214213198,-0.03282061182130862,0.0,0.0,6.20607512499987,4.435692660642048,-6.160016266512119,1.2365251086383513,0.2528042931658214,0.9837208154725299,-0.3827139767074097,1.3324043840393909,1.9937402839786955e-09,0.034030406146808634,0.9837208154725301,2.220446049250313e-16,0.9837208154725299,0.03282061182130862,eid,r02,P2D_EID_anti_phase_hip_knee_software_disturbance,data\20260623_191422\h1_real_p2_anti_hip_knee_eid_log.csv,config\h1_real_p2_anti_hip_knee_eid.yaml
3034,1121.7600556070001,-0.4854234457015991,0.7224324941635132,-0.5414918661117554,0.6137064099311829,4.21875,3.4754271507263184,2.656828874548123,0.7233107051004128,-0.03713100212303281,0.0,0.0,6.208107571000028,4.756088031456916,-6.074631371510595,1.3361543010037027,0.2616821118453385,1.0744721891583642,-0.38743212836980345,1.4281382064901633,1.9661032801820966e-09,0.03376610907190125,1.0744721891583644,2.220446049250313e-16,1.0744721891583642,0.03713100212303281,eid,r02,P2D_EID_anti_phase_hip_knee_software_disturbance,data\20260623_191422\h1_real_p2_anti_hip_knee_eid_log.csv,config\h1_real_p2_anti_hip_knee_eid.yaml
3035,1121.7620929900002,-0.4861648678779602,0.7236309051513672,-0.5310700535774231,0.608691394329071,3.84375,3.2754271030426025,2.7365235130658356,0.7241567763222295,-0.03776219897396709,0.0,0.0,6.210144954000043,5.184836397949306,-5.9293893687987484,1.4963517870039564,0.29838043926576496,1.1979713477381915,-0.3907230983848764,1.5561648658805871,1.9190971034532822e-09,0.03252957832338366,1.1979713477381915,0.0,1.1979713477381915,0.03776219897396709,eid,r02,P2D_EID_anti_phase_hip_knee_software_disturbance,data\20260623_191422\h1_real_p2_anti_hip_knee_eid_log.csv,config\h1_real_p2_anti_hip_knee_eid.yaml
