cycle,t_rel,q_h,q_k,dq_h,dq_k,qdd_h,qdd_k,d_k_total,d_h_total,d_k_from_hip_acc,d_h_from_knee_acc,d_k_other_after_row2,d_h_other_after_row2,method,frequency_hz,reference_acceleration_gain
1495,2.99,-0.18404259271,0.332493528871,0.922384650401,-1.08768873676,-3.303669233075487,4.129730656340483,-0.05754538827240108,-0.9062086481507081,-1.0994004358029312,1.3742985035771316,1.0418550475305302,-2.2805071517278397,EID,0.8,1.0
1500,3.0,-0.17495569615,0.321720836527,0.905451606261,-1.08130723935,-2.239219053354839,2.7104221246175726,0.33406408572412194,-1.3372464774144603,-0.7463399699455193,0.9033936916515646,1.0804040556696413,-2.240640169066025,EID,0.8,1.0
1505,3.01,-0.165868368928,0.31078476694,0.908109294472,-1.09267944288,-2.728148969251734,4.159885663956567,0.20990014790638256,-0.9420104636620246,-0.9106886511989493,1.3886194291983653,1.1205887991053318,-2.33062989286039,EID,0.8,1.0
1510,3.02,-0.15696602575,0.300201512914,0.873144735651,-1.02629051022,-4.305633407262544,6.720453912753495,-0.28234192923159296,-0.26986875620673967,-1.439299388518486,2.246532459283977,1.156957459286893,-2.5164012154907165,EID,0.8,1.0
1515,3.03,-0.148604780003,0.290563532954,0.808573868737,-0.920220603879,-5.148569286233434,7.161529283472451,-0.5339745148534418,-0.24061780990970716,-1.7231940439012676,2.3969192061766726,1.1892195290478258,-2.63753701608638,EID,0.8,1.0
1520,3.04,-0.140958897555,0.281950111524,0.738555850949,-0.829597470674,-4.419215854799413,4.906480735260621,-0.26198101582352473,-0.9720924542562197,-1.4806427999940073,1.6438991922250619,1.2186617841704825,-2.6159916464812816,EID,0.8,1.0
1525,3.05,-0.133782515554,0.273788713467,0.70993073011,-0.819143497603,-3.368231748853858,3.1081734410398765,0.1192677754977951,-1.5176826000455685,-1.1295973620377764,1.042382110717067,1.2488651375355715,-2.5600647107626355,EID,0.8,1.0
1530,3.06,-0.126709277985,0.265466121884,0.702785127243,-0.831842805147,-3.9560371694787806,4.778768005146812,-0.048183800477617056,-1.0448327185613837,-1.3279755165416558,1.60415249862369,1.2797917160640386,-2.6489852171850736,EID,0.8,1.0
1535,3.07,-0.119921406201,0.257493906628,0.657032333024,-0.763028943848,-5.715946637665599,7.988239088449986,-0.612835781617993,-0.1601460220224764,-1.920404691216518,2.6838339810470413,1.307568909598525,-2.8439800030695177,EID,0.8,1.0
1540,3.08,-0.113827716714,0.250643247383,0.57450876835,-0.630313027751,-6.728275565768063,8.97467376774479,-0.9310447368198992,0.04859233477623626,-2.2621326372492025,3.017400556833793,1.3310879004293033,-2.968808222057557,EID,0.8,1.0
1545,3.09,-0.108623643199,0.245062645488,0.487802994938,-0.518740137375,-5.980123532746585,6.704036357942556,-0.6605191783256248,-0.6727402955659239,-2.011723284639091,2.255248736667126,1.351204106313466,-2.9279890322330497,EID,0.8,1.0
1550,3.1,-0.104044544965,0.240096437966,0.444330462622,-0.494071979991,-4.7482925670418465,4.424011372005306,-0.22776709212187274,-1.349070681147201,-1.598107907477332,1.4889662876809444,1.3703408153554593,-2.8380369688281455,EID,0.8,1.0
1555,3.11,-0.0996989617291,0.235067101465,0.42592231995,-0.500279443622,-5.069365804412729,5.496953784279825,-0.3177767727757178,-1.0382657959930968,-1.706983538774382,1.8509632141759047,1.3892067659986642,-2.8892290101690015,EID,0.8,1.0
1560,3.12,-0.0957344047772,0.230438030213,0.371091578948,-0.426926189567,-6.608531657617302,8.46218145952155,-0.8206831321359604,-0.20085530517812167,-2.226208335647905,2.8506451779250854,1.4055252035119448,-3.051500483103207,EID,0.8,1.0
1565,3.13,-0.0925565162958,0.226984800878,0.278961947158,-0.287384973866,-7.3858782114446075,9.253002645679915,-1.0709081257231463,-0.021406316058115493,-2.488843939535653,3.1180150684753185,1.4179358138125067,-3.139421384533434,EID,0.8,1.0
1570,3.14,-0.0903466965675,0.224853819341,0.187287898178,-0.174123086305,-6.336317354210026,6.663990811381412,-0.708964290936639,-0.8066568201005877,-2.1355714692116643,2.246009448756394,1.4266071782750251,-3.052666268856982,EID,0.8,1.0
1575,3.15,-0.0887838857154,0.223321294622,0.141965828693,-0.151551305723,-4.783525153749455,4.020317276485677,-0.1792374026008895,-1.560753230294745,-1.6124390125828325,1.3551755684790532,1.4332016099819431,-2.9159287987737983,EID,0.8,1.0
1580,3.16,-0.0874645461055,0.22169185049,0.124209426213,-0.163046306517,-4.901649838163339,4.985513112627482,-0.213531995496542,-1.2530584704373018,-1.6524891104593475,1.680761866040637,1.4389571149628055,-2.9338203364779387,EID,0.8,1.0
1585,3.17,-0.0864953531154,0.220388544544,0.0729678715922,-0.0973715812337,-6.432235505523275,8.191856198316406,-0.7257553709002844,-0.3192035482852962,-2.168735830584808,2.7620213907018227,1.4429804596845235,-3.081224938987119,EID,0.8,1.0
1590,3.18,-0.0862861258438,0.220212340177,-0.0179235827645,0.0418415692485,-7.293797158422973,9.362401034500959,-1.0154802094339417,-0.005048680750594947,-2.459262627766387,3.1567374949165474,1.4437824183324455,-3.1617861756671424,EID,0.8,1.0
1595,3.19,-0.0870497380891,0.221410091092,-0.110317426427,0.161021853337,-6.3474744863226515,7.118101802994426,-0.6992243701763599,-0.668870445060695,-2.139970490061272,2.399777712613513,1.440746119884912,-3.068648157674208,EID,0.8,1.0
1600,3.2,-0.0884663207605,0.223260684857,-0.156183181381,0.188814478948,-4.840207040727698,4.616910051067089,-0.19676610917248105,-1.3647910102415661,-1.6315540220245373,1.5562842869654425,1.4347879128520562,-2.9210752972070084,EID,0.8,1.0
1605,3.21,-0.090130243577,0.225063694884,-0.17403064425,0.181921708401,-4.886692630413801,5.417224488130564,-0.2194688850736317,-1.0920440110212097,-1.6469644258219915,1.8257698393212178,1.4274955407483598,-2.9178138503424274,EID,0.8,1.0
1610,3.22,-0.0921400761791,0.227233128203,-0.224699424286,0.251394914467,-6.314943529290109,8.347902019946122,-0.7088416950574558,-0.22699554009502876,-2.1279205356105493,2.812958192756006,1.4190788405530936,-3.0399537328510347,EID,0.8,1.0
1615,3.23,-0.0949014068946,0.230558200773,-0.314179320802,0.391585851042,-7.098298322552834,9.291188570004557,-0.9829635560935821,0.03342841165493926,-2.3911693632532183,3.1298776759235047,1.4082058071596362,-3.0964492642685655,EID,0.8,1.0
1620,3.24,-0.0986110480069,0.235233278667,-0.403800393967,0.507421616061,-6.1157955521592955,6.939096593205611,-0.6656205740653015,-0.647537637572376,-2.059310897111439,2.33653285310558,1.3936903230461373,-2.984070490677956,EID,0.8,1.0
1625,3.25,-0.102946420231,0.240529277571,-0.447020395406,0.532160118311,-4.643053168509266,4.4306677030039605,-0.18705751152370265,-1.3342471746548847,-1.5626228720143778,1.4911443913601135,1.375565360490675,-2.825391566014998,EID,0.8,1.0
1630,3.26,-0.107505178209,0.245755354247,-0.462564835575,0.523672000236,-4.618615390718276,5.091846945160796,-0.19792091662789912,-1.0877805238478997,-1.5536029553498247,1.7127878796940779,1.3556820387219255,-2.800568403541978,EID,0.8,1.0
1635,3.27,-0.112385081931,0.251332811356,-0.510691321503,0.59155470595,-5.78146564064178,7.6177101687291895,-0.6081778834988149,-0.3197856040894731,-1.943665790944897,2.5609912054494908,1.3354879074460824,-2.880776809538964,EID,0.8,1.0
1640,3.28,-0.117983377912,0.258024058749,-0.595673469627,0.723619750506,-6.223469662276301,8.141550156212784,-0.7769166529060572,-0.15312578262723253,-2.0908011147019914,2.7351884183180464,1.3138844617959342,-2.888314200945279,EID,0.8,1.0
1645,3.29,-0.124436268707,0.265918175828,-0.672286209069,0.822167427112,-5.03186316245178,5.704922918309279,-0.40019665785745684,-0.8280115991883505,-1.6890278185226764,1.9149514206695764,1.2888311606652194,-2.742963019857927,EID,0.8,1.0
1650,3.3,-0.131373961927,0.274265977945,-0.70186300083,0.831178636372,-3.565149061669766,3.3798220230936735,0.064079251937319,-1.4404807072703205,-1.1955713090064128,1.1334219608944642,1.2596505609437318,-2.5739026681647847,EID,0.8,1.0
1655,3.31,-0.13842223107,0.282448514907,-0.708238254421,0.817631516301,-3.590945083646197,4.161158746199588,0.02565685816924712,-1.1462058738604752,-1.2030616272190033,1.3940982932649881,1.2287184853882505,-2.5403041671254636,EID,0.8,1.0
1660,3.32,-0.145715747347,0.290945048247,-0.749191302337,0.88208796838,-4.725868303376355,6.583959508117136,-0.3828554340721979,-0.3969443289126273,-1.581643327415493,2.2035052514153732,1.1987878933432952,-2.6004495803280006,EID,0.8,1.0
1665,3.33,-0.153642066147,0.300473503094,-0.824100196511,1.00083252789,-5.053522244166178,7.047742587620936,-0.5204847646888744,-0.22553801626633163,-1.689245939432142,2.355855969971298,1.1687611747432676,-2.5813939862376296,EID,0.8,1.0
