method,direction,acc_gain,row2_acc_torque_rms,row3_total_residual_rms,remaining_after_removing_row2_rms,row2_rms_share_percent
PD,knee_to_hip,2.5,4.471193883728414,3.62989901444178,1.884981246093258,70.34409518942657
PD,knee_to_hip,2.6,4.650041639077551,3.7937760696634863,1.884981246093258,71.15570550838262
PD,knee_to_hip,2.7,4.828889394426687,3.9589493451727957,1.884981246093258,71.92407558887255
PD,knee_to_hip,2.8,5.007737149775823,4.125263144058052,1.884981246093258,72.65257133929977
PD,knee_to_hip,2.9,5.186584905124961,4.292584901547109,1.884981246093258,73.34421815783294
PD,knee_to_hip,3.0,5.365432660474097,4.460801195462932,1.884981246093258,74.0017429296573
EID,knee_to_hip,0.0,0.0,1.9319561462206525,1.9319561462206525,0.0
EID,knee_to_hip,0.1,0.30944243391999354,1.8080390092320249,1.9319561462206525,13.805774513365503
EID,knee_to_hip,0.2,0.6188848678399871,1.731203282896133,1.9319561462206525,24.261992983043463
EID,knee_to_hip,0.3,0.9283273017599806,1.707815503600033,1.9319561462206525,32.45577994780139
EID,knee_to_hip,0.4,1.2377697356799742,1.7400321898699405,1.9319561462206525,39.049740633653286
EID,knee_to_hip,0.5,1.5472121695999677,1.8249108167390495,1.9319561462206525,44.47074786708132
EID,knee_to_hip,0.6,1.8566546035199611,1.9556063499946628,1.9319561462206525,49.00621167395136
EID,knee_to_hip,0.7,2.166097037439955,2.1236765627205028,1.9319561462206525,52.85673319410358
EID,knee_to_hip,0.8,2.4755394713599483,2.3210164432373057,1.9319561462206525,56.166578169369615
EID,knee_to_hip,0.9,2.784981905279942,2.540815175554529,1.9319561462206525,59.04215562877614
EID,knee_to_hip,1.0,3.0944243391999353,2.777746464798235,1.9319561462206525,61.563670879583356
EID,knee_to_hip,1.1,3.4038667731199292,3.0277909982181153,1.9319561462206525,63.7927237199354
EID,knee_to_hip,1.2,3.7133092070399223,3.2879584052878266,1.9319561462206525,65.77740769785429
EID,knee_to_hip,1.3,4.022751640959916,3.5560275393668914,1.9319561462206525,67.55581944121906
EID,knee_to_hip,1.4,4.33219407487991,3.83033973511349,1.9319561462206525,69.15852784448035
EID,knee_to_hip,1.5,4.641636508799903,4.109645039643142,1.9319561462206525,70.61034585486327
EID,knee_to_hip,1.6,4.951078942719897,4.392991174263652,1.9319561462206525,71.93162433059712
EID,knee_to_hip,1.7,5.260521376639891,4.679644196119384,1.9319561462206525,73.1392119046583
EID,knee_to_hip,1.8,5.569963810559884,4.969031836002867,1.9319561462206525,74.24717729126832
EID,knee_to_hip,1.9,5.879406244479878,5.260702824905323,1.9319561462206525,75.26735990996067
EID,knee_to_hip,2.0,6.188848678399871,5.554297460214419,1.9319561462206525,76.2097946208068
EID,knee_to_hip,2.1,6.498291112319865,5.849526098834203,1.9319561462206525,77.08304291711698
EID,knee_to_hip,2.2,6.8077335462398585,6.146153278690771,1.9319561462206525,77.89445375975652
EID,knee_to_hip,2.3,7.117175980159851,6.443985871275694,1.9319561462206525,78.65037089481199
EID,knee_to_hip,2.4,7.426618414079845,6.742864149088345,1.9319561462206525,79.35629904135081
EID,knee_to_hip,2.5,7.7360608479998385,7.042654982088906,1.9319561462206525,80.01703816433536
EID,knee_to_hip,2.6,8.045503281919832,7.343246604890995,1.9319561462206525,80.63679276137417
EID,knee_to_hip,2.7,8.354945715839825,7.6445445543580455,1.9319561462206525,81.21926142460856
EID,knee_to_hip,2.8,8.66438814975982,7.9464684877439735,1.9319561462206525,81.76771070987657
EID,knee_to_hip,2.9,8.973830583679812,8.248949669483467,1.9319561462206525,82.2850364300285
EID,knee_to_hip,3.0,9.283273017599805,8.551928970264866,1.9319561462206525,82.77381480127924
