method,direction,t_rel,row2,row3
PD,knee_to_hip,6.689999999999921,1.0904341611630006,-0.6998576770066686
PD,knee_to_hip,6.699999999999921,1.2625098433011184,-0.6168596495823531
PD,knee_to_hip,6.709999999999921,1.2885528574039746,-0.6821469045034185
PD,knee_to_hip,6.719999999999921,1.265923676437716,-0.74525721271488
PD,knee_to_hip,6.7299999999999205,1.2557421793393861,-0.8070012997222655
PD,knee_to_hip,6.73999999999992,1.2916306678715395,-0.8356746688797159
PD,knee_to_hip,6.74999999999992,1.3610704362487198,-0.8563012175223509
PD,knee_to_hip,6.75999999999992,1.36899909040621,-0.9350699079167342
PD,knee_to_hip,6.76999999999992,1.2745130811724765,-1.1098318415142743
PD,knee_to_hip,6.779999999999919,1.2393981427699379,-1.2082035595950487
PD,knee_to_hip,6.789999999999919,1.3411818014131964,-1.134903031549196
PD,knee_to_hip,6.799999999999919,1.425547954262469,-1.1024921369347847
PD,knee_to_hip,6.809999999999919,1.5386475405573417,-1.0811254663364327
PD,knee_to_hip,6.819999999999919,1.8390762180825129,-0.8438670618096309
PD,knee_to_hip,6.829999999999918,2.2714341786511194,-0.39195695157335375
PD,knee_to_hip,6.839999999999918,2.553818709662065,-0.15367659410160633
PD,knee_to_hip,6.849999999999918,2.5096342949382886,-0.25575468013920977
PD,knee_to_hip,6.859999999999918,2.2674350845239575,-0.5343465350084244
PD,knee_to_hip,6.8699999999999175,2.038451523465409,-0.8458552615043565
PD,knee_to_hip,6.879999999999917,1.991555635727752,-0.9063577417936806
PD,knee_to_hip,6.889999999999917,2.119804723624598,-0.7604775706593297
PD,knee_to_hip,6.899999999999917,2.0755408135820894,-0.8234894225372302
PD,knee_to_hip,6.909999999999917,1.863982400651032,-1.08477702675119
PD,knee_to_hip,6.919999999999916,2.0331638231712468,-0.9317574020213893
PD,knee_to_hip,6.929999999999916,2.4738451791140603,-0.485886074330703
PD,knee_to_hip,6.939999999999916,2.475267025765573,-0.4524211303578385
PD,knee_to_hip,6.949999999999916,1.855655079617901,-0.9907843638292887
PD,knee_to_hip,6.959999999999916,0.8392476985367747,-1.9219793762638375
PD,knee_to_hip,6.969999999999915,-0.14116561460761295,-2.801554437091262
PD,knee_to_hip,6.979999999999915,-0.08282170767650267,-2.698616686954683
PD,knee_to_hip,6.989999999999915,0.783196011400431,-1.9045741172723722
PD,knee_to_hip,6.999999999999915,1.4234537398229283,-1.4038001606618968
PD,knee_to_hip,7.0099999999999145,1.818023294194245,-1.1354421317191137
