candidate,scan,group,repeat,joint,signal,freq_hz,amp
O4,ko,o4,r01,Hip,tau_est,98.3347280334728,0.008070495039667735
O4,ko,o4,r01,Hip,tau_est,98.7510460251046,0.006507679181091143
O4,ko,o4,r01,Hip,tau_est,99.1673640167364,0.014205976293101573
O4,ko,o4,r01,Hip,tau_est,99.5836820083682,0.02393555133463904
O4,ko,o4,r01,Hip,tau_est,100.0,0.03691080874743534
O4,ko,o4,r01,Hip,delta_tau_est,0.5,0.008394933776421502
O4,ko,o4,r01,Hip,delta_tau_est,0.9163179916317992,0.017364965537500623
O4,ko,o4,r01,Hip,delta_tau_est,1.3326359832635983,0.030090893523340663
O4,ko,o4,r01,Hip,delta_tau_est,1.7489539748953975,0.03675900570587174
O4,ko,o4,r01,Hip,delta_tau_est,2.1652719665271967,0.04120907564263158
O4,ko,o4,r01,Hip,delta_tau_est,2.581589958158996,0.02728971278442706
O4,ko,o4,r01,Hip,delta_tau_est,2.997907949790795,0.019309135285023673
O4,ko,o4,r01,Hip,delta_tau_est,3.414225941422594,0.027495788448114598
O4,ko,o4,r01,Hip,delta_tau_est,3.8305439330543933,0.02274733661691579
O4,ko,o4,r01,Hip,delta_tau_est,4.2468619246861925,0.006781571224909768
O4,ko,o4,r01,Hip,delta_tau_est,4.663179916317992,0.008793230914924174
O4,ko,o4,r01,Hip,delta_tau_est,5.079497907949791,0.015315506491903313
O4,ko,o4,r01,Hip,delta_tau_est,5.49581589958159,0.022984620593616133
O4,ko,o4,r01,Hip,delta_tau_est,5.912133891213389,0.025707890558615637
O4,ko,o4,r01,Hip,delta_tau_est,6.328451882845188,0.018670158058023467
O4,ko,o4,r01,Hip,delta_tau_est,6.7447698744769875,0.015054268781402317
O4,ko,o4,r01,Hip,delta_tau_est,7.161087866108787,0.013689290837452248
O4,ko,o4,r01,Hip,delta_tau_est,7.577405857740586,0.010572969553053063
O4,ko,o4,r01,Hip,delta_tau_est,7.993723849372385,0.007443152870813291
O4,ko,o4,r01,Hip,delta_tau_est,8.410041841004183,0.005874707781426712
O4,ko,o4,r01,Hip,delta_tau_est,8.826359832635983,0.005434391805065293
O4,ko,o4,r01,Hip,delta_tau_est,9.242677824267783,0.006658756733742356
O4,ko,o4,r01,Hip,delta_tau_est,9.658995815899582,0.005691463168253539
O4,ko,o4,r01,Hip,delta_tau_est,10.07531380753138,0.0036488494882841033
O4,ko,o4,r01,Hip,delta_tau_est,10.49163179916318,0.006725186324598187
O4,ko,o4,r01,Hip,delta_tau_est,10.90794979079498,0.009684891002323077
O4,ko,o4,r01,Hip,delta_tau_est,11.324267782426778,0.010871253676580763
O4,ko,o4,r01,Hip,delta_tau_est,11.740585774058577,0.008585693443837928
O4,ko,o4,r01,Hip,delta_tau_est,12.156903765690377,0.002409824649302188
O4,ko,o4,r01,Hip,delta_tau_est,12.573221757322177,0.005016315852622123
O4,ko,o4,r01,Hip,delta_tau_est,12.989539748953975,0.01068023302458478
O4,ko,o4,r01,Hip,delta_tau_est,13.405857740585773,0.006703496967905356
O4,ko,o4,r01,Hip,delta_tau_est,13.822175732217573,0.0054384482719262136
O4,ko,o4,r01,Hip,delta_tau_est,14.238493723849373,0.011419452581431375
O4,ko,o4,r01,Hip,delta_tau_est,14.654811715481172,0.017785627488636893
O4,ko,o4,r01,Hip,delta_tau_est,15.07112970711297,0.024480928106308343
O4,ko,o4,r01,Hip,delta_tau_est,15.48744769874477,0.024591248113771048
O4,ko,o4,r01,Hip,delta_tau_est,15.90376569037657,0.02265519027303283
O4,ko,o4,r01,Hip,delta_tau_est,16.320083682008367,0.014846236309338852
O4,ko,o4,r01,Hip,delta_tau_est,16.736401673640167,0.011804496209209465
O4,ko,o4,r01,Hip,delta_tau_est,17.152719665271967,0.01801821490746349
O4,ko,o4,r01,Hip,delta_tau_est,17.569037656903767,0.02828439671213534
O4,ko,o4,r01,Hip,delta_tau_est,17.985355648535567,0.04117569549733739
O4,ko,o4,r01,Hip,delta_tau_est,18.401673640167363,0.05734100077260347
O4,ko,o4,r01,Hip,delta_tau_est,18.817991631799163,0.07388661876579114
O4,ko,o4,r01,Hip,delta_tau_est,19.234309623430963,0.08986671951558912
O4,ko,o4,r01,Hip,delta_tau_est,19.65062761506276,0.0818879397645074
O4,ko,o4,r01,Hip,delta_tau_est,20.06694560669456,0.0390890902960468
O4,ko,o4,r01,Hip,delta_tau_est,20.48326359832636,0.07512911999714017
O4,ko,o4,r01,Hip,delta_tau_est,20.89958158995816,0.14921152389464507
O4,ko,o4,r01,Hip,delta_tau_est,21.31589958158996,0.13030910770341997
O4,ko,o4,r01,Hip,delta_tau_est,21.732217573221757,0.1045054480477192
O4,ko,o4,r01,Hip,delta_tau_est,22.148535564853557,0.07445914369396092
O4,ko,o4,r01,Hip,delta_tau_est,22.564853556485357,0.054938124119768506
O4,ko,o4,r01,Hip,delta_tau_est,22.981171548117153,0.04703842308622897
O4,ko,o4,r01,Hip,delta_tau_est,23.397489539748953,0.032208932392451664
O4,ko,o4,r01,Hip,delta_tau_est,23.813807531380753,0.015080598609424654
O4,ko,o4,r01,Hip,delta_tau_est,24.230125523012553,0.009808614270944496
O4,ko,o4,r01,Hip,delta_tau_est,24.646443514644353,0.007467903460942226
O4,ko,o4,r01,Hip,delta_tau_est,25.06276150627615,0.012816902184002534
O4,ko,o4,r01,Hip,delta_tau_est,25.47907949790795,0.015003640767341215
O4,ko,o4,r01,Hip,delta_tau_est,25.89539748953975,0.014527885436165053
O4,ko,o4,r01,Hip,delta_tau_est,26.311715481171547,0.008782782937358187
O4,ko,o4,r01,Hip,delta_tau_est,26.728033472803347,0.0028814540410253835
O4,ko,o4,r01,Hip,delta_tau_est,27.144351464435147,0.009992514627786523
O4,ko,o4,r01,Hip,delta_tau_est,27.560669456066947,0.015993991481836656
O4,ko,o4,r01,Hip,delta_tau_est,27.976987447698747,0.019876083163991184
O4,ko,o4,r01,Hip,delta_tau_est,28.393305439330543,0.020770185036929265
O4,ko,o4,r01,Hip,delta_tau_est,28.809623430962343,0.019758308158751414
O4,ko,o4,r01,Hip,delta_tau_est,29.225941422594143,0.01599092658633597
O4,ko,o4,r01,Hip,delta_tau_est,29.64225941422594,0.012459173296034444
O4,ko,o4,r01,Hip,delta_tau_est,30.05857740585774,0.012604698877877898
O4,ko,o4,r01,Hip,delta_tau_est,30.47489539748954,0.011725757244853661
O4,ko,o4,r01,Hip,delta_tau_est,30.89121338912134,0.009380354210803986
O4,ko,o4,r01,Hip,delta_tau_est,31.30753138075314,0.011344159198336926
O4,ko,o4,r01,Hip,delta_tau_est,31.723849372384937,0.01535273467045126
