family,scan,group,ko_scale,ku_scale,repeat,log_path,joint,eta_u_rms,comp_rms,tau_dist_rms,eta_to_dist_rms_ratio,corr_eta_u_tau_dist_zero_lag,corr_minus_eta_u_tau_dist_zero_lag,best_corr_minus_eta_u_tau_dist,best_lag_ms_minus_eta_u_tau_dist
P4D,ko,o4,1.0,1.0,r01,data/20260623_191908/h1_real_p4_ko_o4_hip_knee_eid_log.csv,Hip,0.02050252164992566,0.02050252164992566,5.438390067617252,0.003769961586979091,0.3231934914277554,-0.3231934914277554,-0.3368455457119547,20.322149999856265
P4D,ko,o4,1.0,1.0,r01,data/20260623_191908/h1_real_p4_ko_o4_hip_knee_eid_log.csv,Knee,0.047359359722935146,0.047359359722935146,3.6255933784115015,0.013062512747550561,0.6399981241484521,-0.6399981241484521,-0.64971199043121,-12.193289999913759
P4D,ko,o4,1.0,1.0,r02,data/20260623_191923/h1_real_p4_ko_o4_hip_knee_eid_log.csv,Hip,0.018668648144023216,0.018668648144023216,5.437049629005294,0.0034335989953872535,0.3542065578860052,-0.3542065578860052,-0.36554639151479845,16.256975999567658
P4D,ko,o4,1.0,1.0,r02,data/20260623_191923/h1_real_p4_ko_o4_hip_knee_eid_log.csv,Knee,0.04676857130956487,0.04676857130956487,3.624699752670196,0.012902743537616326,0.6602723333180104,-0.6602723333180104,-0.6691416627065577,-8.128487999783829
P4D,ko,o4,1.0,1.0,r03,data/20260623_191939/h1_real_p4_ko_o4_hip_knee_eid_log.csv,Hip,0.019090368889592313,0.019090368889592313,5.441083829033598,0.003508559965153669,0.3452650354229985,-0.3452650354229985,-0.36610916793963477,24.37544399890612
P4D,ko,o4,1.0,1.0,r03,data/20260623_191939/h1_real_p4_ko_o4_hip_knee_eid_log.csv,Knee,0.046924431883326054,0.046924431883326054,3.627389219355732,0.012936144716132887,0.6469000623202801,-0.6469000623202801,-0.6535896169892877,-12.18772199945306
P4D,ko,o5,1.25,1.0,r01,data/20260623_191954/h1_real_p4_ko_o5_hip_knee_eid_log.csv,Hip,0.026846604315320332,0.026846604315320332,5.4399060439156015,0.004935122794142297,0.20038144733815544,-0.20038144733815544,-0.2163578557444158,26.42144699984783
P4D,ko,o5,1.25,1.0,r01,data/20260623_191954/h1_real_p4_ko_o5_hip_knee_eid_log.csv,Knee,0.047099975229796066,0.047099975229796066,3.626604029277067,0.01298734983184394,0.6352667065038456,-0.6352667065038456,-0.6435450018921851,-12.194513999929768
P4D,ko,o5,1.25,1.0,r02,data/20260623_192010/h1_real_p4_ko_o5_hip_knee_eid_log.csv,Hip,0.030606770065446633,0.030606770065446633,5.438238490762011,0.005628066903913584,0.17619179540189087,-0.17619179540189087,-0.1864717979926397,18.281317499940997
P4D,ko,o5,1.25,1.0,r02,data/20260623_192010/h1_real_p4_ko_o5_hip_knee_eid_log.csv,Knee,0.04702809128983293,0.04702809128983293,3.6254923271746735,0.01297150484565545,0.63038602135715,-0.63038602135715,-0.6347018452720059,-6.093772499980332
P4D,ko,o5,1.25,1.0,r03,data/20260623_192025/h1_real_p4_ko_o5_hip_knee_eid_log.csv,Hip,0.030614770156933622,0.030614770156933622,5.439380520648486,0.005628356030749566,0.1695100540711742,-0.1695100540711742,-0.18541303933822456,18.290673001274627
P4D,ko,o5,1.25,1.0,r03,data/20260623_192025/h1_real_p4_ko_o5_hip_knee_eid_log.csv,Knee,0.047105629517809854,0.047105629517809854,3.6262536804323235,0.012990163863051605,0.6046009779427755,-0.6046009779427755,-0.626878026468932,-12.193782000849751
P4D,ku,u1,1.0,0.5,r01,data/20260623_192053/h1_real_p4_ku_u1_hip_knee_eid_log.csv,Hip,0.010765102728279935,0.010765102728279935,5.440889841121648,0.0019785555382721537,0.2867751449170711,-0.2867751449170711,-0.30605804548251053,22.34461900036422
P4D,ku,u1,1.0,0.5,r01,data/20260623_192053/h1_real_p4_ku_u1_hip_knee_eid_log.csv,Knee,0.023820514755788634,0.023820514755788634,3.627259894081099,0.006567082440014443,0.6317746952894159,-0.6317746952894159,-0.6393195501778078,-14.219303000231776
