family,scan,group,ko_scale,ku_scale,repeat,log_path,joint,u_star_rms,u_feedback_rms,u_eid_comp_rms,u_raw_rms,u_t_rms,tau_cmd_rms,tau_est_rms,tau_dist_rms
P4D,ku,u2,1.0,0.75,r01,data/20260623_192139/h1_real_p4_ku_u2_hip_knee_eid_log.csv,Knee,1.1244084133272836,5.274113854275465,0.03576533948332205,5.697736528095324,5.601741414147826,2.837061432622604,2.7969987968565144,3.6280897623406894
P4D,ku,u2,1.0,0.75,r02,data/20260623_192155/h1_real_p4_ku_u2_hip_knee_eid_log.csv,Hip,2.5804949545867486,5.762800663757277,0.017024503312128576,7.7857201887225855,7.628417793008246,2.5888415939140748,2.5730207210243594,5.439576389609765
P4D,ku,u2,1.0,0.75,r02,data/20260623_192155/h1_real_p4_ku_u2_hip_knee_eid_log.csv,Knee,1.1241389629671188,5.119344611178019,0.03503747369340872,5.552694209909782,5.511652405034597,2.7380655794176176,2.685076248835425,3.626384259739843
P4D,ku,u2,1.0,0.75,r03,data/20260623_192210/h1_real_p4_ku_u2_hip_knee_eid_log.csv,Hip,2.5792032206225612,5.926941230850874,0.01713944539309088,7.922367139514377,7.700746212014945,2.705391920688199,2.6948079773403735,5.4367266756593695
P4D,ku,u2,1.0,0.75,r03,data/20260623_192210/h1_real_p4_ku_u2_hip_knee_eid_log.csv,Knee,1.1240977042606408,5.359389921012919,0.035458645738592684,5.785268573863395,5.614179332199994,2.9666340795507855,2.9066396210752616,3.6244844504395797
P4D,ku,u3,1.0,1.0,r01,data/20260623_192226/h1_real_p4_ku_u3_hip_knee_eid_log.csv,Hip,2.5800250518992893,5.799690776051914,0.019648168662242078,7.829133771060512,7.684465491365073,2.6374276954040177,2.597798575784242,5.437676021465766
P4D,ku,u3,1.0,1.0,r01,data/20260623_192226/h1_real_p4_ku_u3_hip_knee_eid_log.csv,Knee,1.1238728097737751,5.18562420827141,0.04733333558701559,5.625376466413444,5.568663387080983,2.8515958208894063,2.794697137173614,3.625117347643844
P4D,ku,u3,1.0,1.0,r02,data/20260623_192241/h1_real_p4_ku_u3_hip_knee_eid_log.csv,Hip,2.5809357278288076,5.955004437857443,0.023630185406544164,7.954216296479118,7.720716091434099,2.7344085141945556,2.6930637747944304,5.44033872561461
P4D,ku,u3,1.0,1.0,r02,data/20260623_192241/h1_real_p4_ku_u3_hip_knee_eid_log.csv,Knee,1.1241812790136145,5.303455415486973,0.04722371232124317,5.728787718054533,5.590581712364722,2.9312953442621414,2.8709716434848813,3.6268924837430734
P4D,ku,u3,1.0,1.0,r03,data/20260623_192257/h1_real_p4_ku_u3_hip_knee_eid_log.csv,Hip,2.582454483660617,5.903315425792618,0.028809667572450244,7.897573847595697,7.737680105668269,2.76252052086902,2.7378125998158604,5.4375031325769125
P4D,ku,u3,1.0,1.0,r03,data/20260623_192257/h1_real_p4_ku_u3_hip_knee_eid_log.csv,Knee,1.1244058706385098,5.253601736707871,0.04722052508563317,5.678430134542501,5.596323953840637,2.914450812980678,2.8656340419863877,3.6250020883846084
P4D,ku,u4,1.0,1.25,r01,data/20260623_192312/h1_real_p4_ku_u4_hip_knee_eid_log.csv,Hip,2.581537148518711,5.969901923624739,0.028790862551583245,7.971750125027078,7.72161287405773,2.7415871522249153,2.725361202654005,5.438862229935463
P4D,ku,u4,1.0,1.25,r01,data/20260623_192312/h1_real_p4_ku_u4_hip_knee_eid_log.csv,Knee,1.123459850207306,5.344203938575799,0.05931140476963217,5.769331924281953,5.624175213069129,2.9250506485129506,2.8641210747036645,3.625908153290309
P4D,ku,u4,1.0,1.25,r02,data/20260623_192327/h1_real_p4_ku_u4_hip_knee_eid_log.csv,Hip,2.580341447630226,5.793205640204722,0.03165053790257857,7.813279717288682,7.699947529269593,2.6716071411632742,2.65454455636408,5.436921634681308
P4D,ku,u4,1.0,1.25,r02,data/20260623_192327/h1_real_p4_ku_u4_hip_knee_eid_log.csv,Knee,1.1246614081263535,5.106936852848812,0.05866190019282754,5.554559813827152,5.5317912633826785,2.7972878242031243,2.760093402547217,3.624614423120872
P4D,ku,u4,1.0,1.25,r03,data/20260623_192343/h1_real_p4_ku_u4_hip_knee_eid_log.csv,Hip,2.5788388186006137,5.801021510989834,0.0274381365884849,7.824382609836195,7.689435179458944,2.6489324567644346,2.624192052897802,5.4381672267084955
