method,repeat,joint,signal,freq_hz,amp
pd,r01,Hip,delta_tau_est,7.577405857740586,0.005320223450608411
pd,r01,Hip,delta_tau_est,7.993723849372385,0.002672919711298224
pd,r01,Hip,delta_tau_est,8.410041841004183,0.004990703281634404
pd,r01,Hip,delta_tau_est,8.826359832635983,0.00562617202299418
pd,r01,Hip,delta_tau_est,9.242677824267783,0.003477555030958027
pd,r01,Hip,delta_tau_est,9.658995815899582,0.0029669327187083414
pd,r01,Hip,delta_tau_est,10.07531380753138,0.003372502164827364
pd,r01,Hip,delta_tau_est,10.49163179916318,0.003463384176234382
pd,r01,Hip,delta_tau_est,10.90794979079498,0.003428212600317217
pd,r01,Hip,delta_tau_est,11.324267782426778,0.002938978111026387
pd,r01,Hip,delta_tau_est,11.740585774058577,0.0026051685944359342
pd,r01,Hip,delta_tau_est,12.156903765690377,0.002473059030052114
pd,r01,Hip,delta_tau_est,12.573221757322177,0.0029031138956111865
pd,r01,Hip,delta_tau_est,12.989539748953975,0.0035742688491633354
pd,r01,Hip,delta_tau_est,13.405857740585773,0.005366517856676868
pd,r01,Hip,delta_tau_est,13.822175732217573,0.0069009888722742305
pd,r01,Hip,delta_tau_est,14.238493723849373,0.007429307963542412
pd,r01,Hip,delta_tau_est,14.654811715481172,0.00570865476469364
pd,r01,Hip,delta_tau_est,15.07112970711297,0.0016822174648572193
pd,r01,Hip,delta_tau_est,15.48744769874477,0.0038978126934228223
pd,r01,Hip,delta_tau_est,15.90376569037657,0.007986654842224121
pd,r01,Hip,delta_tau_est,16.320083682008367,0.0071891200852935285
pd,r01,Hip,delta_tau_est,16.736401673640167,0.0064741102667068085
pd,r01,Hip,delta_tau_est,17.152719665271967,0.005963441935131924
pd,r01,Hip,delta_tau_est,17.569037656903767,0.005868448536232496
pd,r01,Hip,delta_tau_est,17.985355648535567,0.0061103848217504576
pd,r01,Hip,delta_tau_est,18.401673640167363,0.006119708522253323
pd,r01,Hip,delta_tau_est,18.817991631799163,0.0063121844259320155
pd,r01,Hip,delta_tau_est,19.234309623430963,0.009152936209624348
pd,r01,Hip,delta_tau_est,19.65062761506276,0.010170368100760321
pd,r01,Hip,delta_tau_est,20.06694560669456,0.007744893394167721
pd,r01,Hip,delta_tau_est,20.48326359832636,0.006253919553816829
pd,r01,Hip,delta_tau_est,20.89958158995816,0.005358239570489553
pd,r01,Hip,delta_tau_est,21.31589958158996,0.005887754841236787
pd,r01,Hip,delta_tau_est,21.732217573221757,0.006576442513540794
pd,r01,Hip,delta_tau_est,22.148535564853557,0.006998306725697615
pd,r01,Hip,delta_tau_est,22.564853556485357,0.007353476021666951
pd,r01,Hip,delta_tau_est,22.981171548117153,0.007610572170625954
pd,r01,Hip,delta_tau_est,23.397489539748953,0.006632353722980479
pd,r01,Hip,delta_tau_est,23.813807531380753,0.00504409521222314
pd,r01,Hip,delta_tau_est,24.230125523012553,0.00918512321748169
pd,r01,Hip,delta_tau_est,24.646443514644353,0.012519314170343708
pd,r01,Hip,delta_tau_est,25.06276150627615,0.010968428659828531
pd,r01,Hip,delta_tau_est,25.47907949790795,0.007792170236080683
pd,r01,Hip,delta_tau_est,25.89539748953975,0.0027332777474267872
pd,r01,Hip,delta_tau_est,26.311715481171547,0.0015321619787730819
pd,r01,Hip,delta_tau_est,26.728033472803347,0.0017726301600327018
pd,r01,Hip,delta_tau_est,27.144351464435147,0.006961259510340193
pd,r01,Hip,delta_tau_est,27.560669456066947,0.010906239030169906
pd,r01,Hip,delta_tau_est,27.976987447698747,0.011153998841396864
pd,r01,Hip,delta_tau_est,28.393305439330543,0.010012379020527004
pd,r01,Hip,delta_tau_est,28.809623430962343,0.007597900314101435
pd,r01,Hip,delta_tau_est,29.225941422594143,0.00652396250626964
pd,r01,Hip,delta_tau_est,29.64225941422594,0.0060971531413810814
pd,r01,Hip,delta_tau_est,30.05857740585774,0.010924189382265406
pd,r01,Hip,delta_tau_est,30.47489539748954,0.012461818302098832
pd,r01,Hip,delta_tau_est,30.89121338912134,0.006872670861189283
pd,r01,Hip,delta_tau_est,31.30753138075314,0.007442923485275024
pd,r01,Hip,delta_tau_est,31.723849372384937,0.012465460358866795
pd,r01,Hip,delta_tau_est,32.14016736401673,0.014896449428493143
pd,r01,Hip,delta_tau_est,32.55648535564853,0.01611680107991959
pd,r01,Hip,delta_tau_est,32.97280334728033,0.011368448997204964
pd,r01,Hip,delta_tau_est,33.38912133891213,0.008175027212229737
pd,r01,Hip,delta_tau_est,33.80543933054393,0.007580361928697281
pd,r01,Hip,delta_tau_est,34.22175732217573,0.008187850783295113
pd,r01,Hip,delta_tau_est,34.63807531380753,0.009474528110183128
pd,r01,Hip,delta_tau_est,35.05439330543933,0.014343117737814385
pd,r01,Hip,delta_tau_est,35.470711297071134,0.01922116636547582
pd,r01,Hip,delta_tau_est,35.88702928870293,0.022257604073313147
pd,r01,Hip,delta_tau_est,36.30334728033473,0.020445370917471305
pd,r01,Hip,delta_tau_est,36.71966527196653,0.01228139672142653
pd,r01,Hip,delta_tau_est,37.13598326359833,0.007447831073946632
pd,r01,Hip,delta_tau_est,37.55230125523013,0.004058368906482507
pd,r01,Hip,delta_tau_est,37.96861924686193,0.005170274615898704
pd,r01,Hip,delta_tau_est,38.38493723849373,0.006848591226372179
pd,r01,Hip,delta_tau_est,38.80125523012552,0.00985454040756212
pd,r01,Hip,delta_tau_est,39.21757322175732,0.013401012572230468
pd,r01,Hip,delta_tau_est,39.63389121338912,0.017506808929978142
pd,r01,Hip,delta_tau_est,40.05020920502092,0.01692210290786104
pd,r01,Hip,delta_tau_est,40.46652719665272,0.014869236978559342
pd,r01,Hip,delta_tau_est,40.88284518828452,0.014940456738551504
pd,r01,Hip,delta_tau_est,41.29916317991632,0.015395163510925469
pd,r01,Hip,delta_tau_est,41.71548117154812,0.01681022325591078
pd,r01,Hip,delta_tau_est,42.13179916317992,0.01891033244108943
